ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv
300590.SZ,20201229,29.21,7.3268,2.4,43.6019,6.7715,11.2399,707515.857,499786.7513
300590.SZ,20201228,24.34,2.7933,0.9,36.3324,5.6425,9.366,589556.178,416460.4425
300590.SZ,20201225,25.39,2.2478,0.65,37.8997,5.8859,9.77,614988.963,434426.0738
300590.SZ,20201224,25.31,2.852,0.83,37.7803,5.8674,9.7392,613051.227,433057.2638
300590.SZ,20201223,26.28,3.0737,0.88,39.2283,6.0923,10.1125,636546.276,449654.085
300590.SZ,20201222,25.65,4.2674,1.3,38.2879,5.9462,9.8701,621286.605,438874.7063
300590.SZ,20201221,27.09,3.0172,0.92,40.4373,6.28,10.4242,656165.853,463513.2863
300590.SZ,20201218,27.07,4.111,1.21,40.4075,6.2754,10.4165,655681.419,463171.0838
300590.SZ,20201217,26.75,2.7159,0.72,39.9298,6.2012,10.2933,647930.475,457695.8438
300590.SZ,20201216,26.39,3.3959,0.77,39.3925,6.1178,10.1548,639210.663,451536.1988
300590.SZ,20201215,27.23,3.1934,0.72,40.6463,6.3125,10.478,659556.891,465908.7038
300590.SZ,20201214,27.22,2.9292,0.63,40.6314,6.3102,10.4742,659314.674,465737.6025
300590.SZ,20201211,27.07,4.7206,0.89,40.4075,6.2754,10.4165,655681.419,463171.0838
300590.SZ,20201210,27.95,4.6215,0.82,41.7211,6.4794,10.7551,676996.515,478227.9938
300590.SZ,20201209,28.24,6.5071,1.03,42.154,6.5466,10.8667,684020.808,483189.93
300590.SZ,20201208,30.15,3.5427,0.47,45.005,6.9894,11.6016,730284.255,515870.2688
300590.SZ,20201207,30.79,3.8691,0.44,45.9603,7.1378,11.8479,745786.143,526820.7488
300590.SZ,20201204,30.54,8.0825,0.93,45.5872,7.0798,11.7517,739730.718,522543.2175
300590.SZ,20201203,32.65,6.3011,0.65,48.7368,7.569,12.5636,790838.505,558645.5813
300590.SZ,20201202,34.17,9.8109,0.96,51.0057,7.9213,13.1485,827655.489,584652.9713
