ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv
920249.BJ,20240430,4.08,2.3072,1.06,,2.2549,0.709,172025.04,46731.8479
920249.BJ,20240429,4.02,4.8279,3.64,,2.2218,0.6986,169495.26,46044.6149
920249.BJ,20240426,4.19,1.3453,1.05,15.9831,2.2501,0.6852,176662.97,47991.7752
920249.BJ,20240425,4.1,1.8613,1.49,15.6398,2.2017,0.6705,172868.3,46960.9256
920249.BJ,20240424,4.25,1.9619,1.72,16.212,2.2823,0.695,179192.75,48679.0083
920249.BJ,20240423,4.36,0.8455,0.57,16.6316,2.3042,0.713,183830.68,49938.9355
920249.BJ,20240422,4.28,0.6143,0.36,16.3264,2.2619,0.6999,180457.64,49022.6248
920249.BJ,20240419,4.24,1.1246,0.65,16.1739,2.2408,0.6934,178771.12,48564.4694
920249.BJ,20240418,4.35,1.6887,0.93,16.5935,2.2989,0.7114,183409.05,49824.3967
920249.BJ,20240417,4.41,1.415,0.68,16.8223,2.3306,0.7212,185938.83,50511.6298
920249.BJ,20240416,4.15,2.5571,1.42,15.8305,2.1932,0.6786,174976.45,47533.6198
920249.BJ,20240415,4.53,1.8461,1.01,17.2801,2.394,0.7408,190998.39,51886.0959
920249.BJ,20240412,4.81,1.194,0.62,18.3482,2.542,0.7866,202804.03,55093.1835
920249.BJ,20240411,4.88,2.0482,0.98,18.6152,2.579,0.798,205755.44,55894.9554
920249.BJ,20240410,5.06,2.7432,1.07,19.3018,2.6741,0.8275,213344.78,57956.6546
920249.BJ,20240409,4.94,1.1889,0.3,18.8441,2.6107,0.8078,208285.22,56582.1884
920249.BJ,20240408,4.86,1.9628,0.39,18.5389,2.5684,0.7948,204912.18,55665.8777
920249.BJ,20240403,5.05,1.6883,0.32,19.2637,2.6688,0.8258,212923.15,57842.1157
920249.BJ,20240402,5.11,2.8379,0.58,19.4926,2.7005,0.8356,215452.93,58529.3488
920249.BJ,20240401,5.25,5.1537,1.18,20.0266,2.7745,0.8585,221355.75,60132.8926
920249.BJ,20240329,5.45,8.1706,2.63,20.7895,2.8802,0.8912,229788.35,62423.6694
920249.BJ,20240328,5.3,7.4124,3.27,20.2173,2.801,0.8667,223463.9,60705.5868
920249.BJ,20240327,4.88,2.4203,1.15,18.6152,2.579,0.798,205755.44,55894.9554
920249.BJ,20240326,4.97,1.5085,0.68,18.9585,2.6266,0.8127,209550.11,56925.805
920249.BJ,20240325,5.0,2.2438,0.96,19.073,2.6424,0.8177,210815.0,57269.4215
920249.BJ,20240322,5.15,1.9595,0.73,19.6451,2.7217,0.8422,217139.45,58987.5041
920249.BJ,20240321,5.25,3.1978,1.23,20.0266,2.7745,0.8585,221355.75,60132.8926
920249.BJ,20240320,5.25,1.5985,0.51,20.0266,2.7745,0.8585,221355.75,60132.8926
920249.BJ,20240319,5.3,2.1565,0.62,20.2173,2.801,0.8667,223463.9,60705.5868
920249.BJ,20240318,5.39,2.7882,0.7,20.5606,2.8485,0.8814,227258.57,61736.4364
920249.BJ,20240315,5.37,3.6528,0.8,20.4843,2.838,0.8782,226415.31,61507.3587
920249.BJ,20240314,5.13,2.8179,0.56,19.5688,2.7111,0.8389,216296.19,58758.4265
920249.BJ,20240313,5.35,4.1114,0.86,20.4081,2.8274,0.8749,225572.05,61278.281
920249.BJ,20240312,5.54,4.1258,0.91,21.1328,2.9278,0.906,233583.02,63454.519
920249.BJ,20240311,5.47,5.0798,1.23,20.8658,2.8908,0.8945,230631.61,62652.7471
920249.BJ,20240308,5.49,6.6894,1.66,20.9421,2.9014,0.8978,231474.87,62881.8248
920249.BJ,20240307,5.24,5.3412,1.39,19.9885,2.7692,0.8569,220934.12,60018.3537
920249.BJ,20240306,5.06,2.5307,0.55,19.3018,2.6741,0.8275,213344.78,57956.6546
920249.BJ,20240305,4.98,3.0437,0.61,18.9967,2.6318,0.8144,209971.74,57040.3438
920249.BJ,20240304,5.13,2.9953,0.56,19.5688,2.7111,0.8389,216296.19,58758.4265
920249.BJ,20240301,5.27,6.2424,1.1,20.1029,2.7851,0.8618,222199.01,60361.9703
920249.BJ,20240229,5.44,4.4652,0.76,20.7514,2.9141,0.8896,229366.72,62309.1306
920249.BJ,20240228,5.25,6.1665,1.09,20.0266,2.8123,0.8585,221355.75,60132.8926
920249.BJ,20240227,5.64,5.0085,0.86,21.5143,3.0212,0.9223,237799.32,64599.9075
920249.BJ,20240226,5.54,4.9597,0.87,21.1328,2.9676,0.906,233583.02,63454.519
920249.BJ,20240223,5.8,7.8018,1.63,22.1246,3.1069,0.9485,244545.4,66432.5289
920249.BJ,20240222,5.55,5.4019,1.16,21.171,2.973,0.9076,234004.65,63569.0579
920249.BJ,20240221,5.33,5.1529,1.13,20.3318,2.8551,0.8716,224728.79,61049.2033
920249.BJ,20240220,5.29,5.9709,1.51,20.1792,2.8337,0.8651,223042.27,60591.0479
920249.BJ,20240219,4.91,4.2061,1.1,18.7296,2.6302,0.8029,207020.33,56238.5719
920249.BJ,20240208,4.67,3.1635,0.86,17.8141,2.5016,0.7637,196901.21,53489.6397
920249.BJ,20240207,4.62,4.7978,1.47,17.6234,2.4748,0.7555,194793.06,52916.9455
920249.BJ,20240206,4.62,4.6853,1.68,17.6234,2.4748,0.7555,194793.06,52916.9455
920249.BJ,20240205,4.16,2.9586,1.01,15.8687,2.2284,0.6803,175398.08,47648.1587
920249.BJ,20240202,4.32,3.5095,1.16,16.479,2.3141,0.7064,182144.16,49480.7802
920249.BJ,20240201,4.7,2.4705,0.76,17.9286,2.5177,0.7686,198166.1,53833.2562
920249.BJ,20240131,4.93,2.6584,0.8,18.8059,2.6409,0.8062,207863.59,56467.6496
920249.BJ,20240130,4.94,2.3513,0.69,18.8441,2.6462,0.8078,208285.22,56582.1884
920249.BJ,20240129,4.95,3.6127,0.95,18.8822,2.6516,0.8095,208706.85,56696.7273
920249.BJ,20240126,5.51,3.997,0.93,21.0184,2.9516,0.9011,232318.13,63110.9025
920249.BJ,20240125,5.7,3.545,0.75,21.7432,3.0533,0.9321,240329.1,65287.1405
920249.BJ,20240124,5.8,3.1861,0.59,22.1246,3.1069,0.9485,244545.4,66432.5289
920249.BJ,20240123,5.93,2.7295,0.43,22.6205,3.1765,0.9697,250026.59,67921.5339
920249.BJ,20240122,5.88,5.618,0.94,22.4298,3.1498,0.9616,247918.44,67348.8397
920249.BJ,20240119,6.29,6.4955,1.04,23.9938,3.3694,1.0286,265205.27,72044.9322
920249.BJ,20240118,6.1,5.5089,0.9,23.269,3.2676,0.9975,257194.3,69868.6942
920249.BJ,20240117,5.91,6.8231,1.19,22.5442,3.1658,0.9665,249183.33,67692.4562
920249.BJ,20240116,6.06,7.501,1.32,23.1164,3.2462,0.991,255507.78,69410.5389
920249.BJ,20240115,5.7,3.5539,0.55,21.7432,3.0533,0.9321,240329.1,65287.1405
920249.BJ,20240112,5.78,7.7308,1.06,22.0483,3.0962,0.9452,243702.14,66203.4513
920249.BJ,20240111,6.38,5.0405,0.61,24.3371,3.4176,1.0433,268999.94,73075.7818
920249.BJ,20240110,6.3,4.8638,0.48,24.0319,3.3747,1.0302,265626.9,72159.4711
920249.BJ,20240109,6.3,7.3216,0.58,24.0319,3.3747,1.0302,265626.9,72159.4711
920249.BJ,20240108,6.6,7.2469,0.5,25.1763,3.5354,1.0793,278275.8,75595.6364
920249.BJ,20240105,6.96,11.8717,0.82,26.5495,3.7283,1.1382,293454.48,79719.0347
920249.BJ,20240104,7.61,10.303,0.72,29.029,4.0765,1.2445,320860.43,87164.0595
920249.BJ,20240103,7.6,13.8775,0.94,28.9909,4.0711,1.2428,320438.8,87049.5207
920249.BJ,20240102,7.95,19.7706,1.32,30.326,4.2586,1.3001,335195.85,91058.3802
920249.BJ,20231229,7.33,16.1053,1.12,27.9609,3.9265,1.1987,309054.79,83956.9719
920249.BJ,20231228,6.92,11.9734,0.8,26.397,3.7069,1.1316,291767.96,79260.8794
920249.BJ,20231227,6.83,10.0344,0.65,26.0537,3.6586,1.1169,287973.29,78230.0298
920249.BJ,20231226,7.03,16.2544,1.2,26.8166,3.7658,1.1496,296405.89,80520.8066
920249.BJ,20231225,7.18,20.401,1.81,27.3888,3.8461,1.1741,302730.34,82238.8893
920249.BJ,20231222,6.46,13.3334,1.29,24.6423,3.4604,1.0564,272372.98,73992.0926
920249.BJ,20231221,5.88,14.8134,1.46,22.4298,3.1498,0.9616,247918.44,67348.8397
920249.BJ,20231220,6.66,12.4388,1.27,25.4052,3.5676,1.0891,280805.58,76282.8694
920249.BJ,20231219,6.42,6.6631,0.66,24.4897,3.439,1.0499,270686.46,73533.9372
920249.BJ,20231218,6.57,9.1511,0.86,25.0619,3.5194,1.0744,277010.91,75252.0199
920249.BJ,20231215,6.33,8.4829,0.7,24.1464,3.3908,1.0351,266891.79,72503.0876
920249.BJ,20231214,6.51,13.8705,1.21,24.833,3.4872,1.0646,274481.13,74564.7868
920249.BJ,20231213,6.44,10.6137,0.99,24.566,3.4497,1.0531,271529.72,73763.0149
920249.BJ,20231212,6.34,8.5354,0.76,24.1845,3.3962,1.0368,267313.42,72617.6265
920249.BJ,20231211,6.3,11.5256,1.19,24.0319,3.3747,1.0302,265626.9,72159.4711
920249.BJ,20231208,6.35,16.1111,2.11,24.2226,3.4015,1.0384,267735.05,72732.1653
920249.BJ,20231207,5.88,10.3869,1.42,22.4298,3.1498,0.9616,247918.44,67348.8397
920249.BJ,20231206,5.52,7.0294,0.83,21.0565,2.9569,0.9027,232739.76,63225.4413
920249.BJ,20231205,5.72,10.7551,1.03,21.8195,3.0641,0.9354,241172.36,65516.2182
920249.BJ,20231204,5.26,3.9721,0.29,20.0647,2.8176,0.8602,221777.38,60247.4314
920249.BJ,20231201,5.27,6.0474,0.41,20.1029,2.823,0.8618,222199.01,60361.9703
920249.BJ,20231130,5.5,8.8418,0.57,20.9802,2.9462,0.8994,231896.5,62996.3637
920249.BJ,20231129,5.87,12.9405,0.82,22.3916,3.1444,0.9599,247496.81,67234.3008
