ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv
688080.SH,20221222,41.71,0.5955,0.64,20.894,2.7187,4.8779,219279.9642,158158.1302
688080.SH,20221221,42.7,0.895,0.95,21.3899,2.7832,4.9937,224484.6433,161912.0633
688080.SH,20221220,43.81,0.6252,0.64,21.946,2.8556,5.1235,230320.1926,166121.0186
688080.SH,20221219,43.77,0.7092,0.69,21.9259,2.853,5.1188,230109.9025,165969.3445
688080.SH,20221216,45.0,1.1706,1.06,22.5421,2.9331,5.2626,236576.322,170633.322
688080.SH,20221215,46.95,1.2854,1.1,23.5189,3.0602,5.4907,246827.9626,178027.4326
688080.SH,20221214,48.28,0.9236,0.77,24.1851,3.1469,5.6462,253820.1072,183070.5952
688080.SH,20221213,48.3,0.8247,0.64,24.1952,3.1482,5.6486,253925.2523,183146.4323
688080.SH,20221212,49.4,0.9721,0.7,24.7462,3.2199,5.7772,259708.229,187317.469
688080.SH,20221209,48.78,1.5387,0.98,24.4356,3.1795,5.7047,256448.733,184966.521
688080.SH,20221208,49.02,1.5982,0.9,24.5558,3.1952,5.7328,257710.4734,185876.5654
688080.SH,20221207,47.4,1.0835,0.43,23.7443,3.0896,5.5433,249193.7258,179733.7658
688080.SH,20221206,48.12,1.3006,0.47,24.105,3.1365,5.6275,252978.947,182463.899
688080.SH,20221205,48.4,1.4239,0.44,24.2453,3.1547,5.6603,254450.9774,183525.6174
688080.SH,20221202,48.4,2.4508,0.77,24.2453,3.1547,5.6603,254450.9774,183525.6174
688080.SH,20221201,47.1,2.6127,0.87,23.594,3.07,5.5082,247616.5504,178596.2104
688080.SH,20221130,45.59,4.9045,1.78,22.8376,2.9716,5.3316,239678.1004,172870.5144
688080.SH,20221129,46.8,2.41,0.74,23.4438,3.0505,5.4731,246039.3749,177458.6549
688080.SH,20221128,48.18,3.7267,1.08,24.135,3.1404,5.6345,253294.3821,182691.4101
688080.SH,20221125,45.93,2.3153,0.48,23.0079,2.9937,5.3714,241465.566,174159.744
688080.SH,20221124,48.28,1.6601,0.3,24.1851,3.1469,5.6462,253820.1072,183070.5952
688080.SH,20221123,49.0,3.6509,0.7,24.5458,3.1939,5.7304,257605.3284,185800.7284
688080.SH,20221122,50.58,5.0054,1.11,25.3373,3.2968,5.9152,265911.7859,191791.8539
688080.SH,20221121,50.0,4.6093,1.21,25.0467,3.259,5.8474,262862.58,189592.58
688080.SH,20221118,49.1,9.0927,3.91,24.5959,3.2004,5.7421,258131.0536,186179.9136
688080.SH,20221117,46.78,5.7376,3.97,23.4337,3.0492,5.4708,245934.2298,177382.8178
688080.SH,20221116,42.12,1.5762,1.07,21.0994,2.7454,4.9258,221435.4374,159712.7894
688080.SH,20221115,42.44,1.5953,1.09,21.2597,2.7663,4.9632,223117.7579,160926.1819
688080.SH,20221114,40.6,1.0091,0.59,20.338,2.6463,4.7481,213444.415,153949.175
688080.SH,20221111,40.5,1.7031,0.85,20.2879,2.6398,4.7364,212918.6898,153569.9898
688080.SH,20221110,41.23,1.3507,0.63,20.6535,2.6874,4.8217,216756.4835,156338.0415
688080.SH,20221109,41.68,1.678,0.72,20.879,2.7167,4.8744,219122.2467,158044.3747
688080.SH,20221108,42.8,1.5618,0.62,21.44,2.7897,5.0053,225010.3685,162291.2485
688080.SH,20221107,43.09,2.2369,0.82,21.5853,2.8086,5.0393,226534.9714,163390.8854
688080.SH,20221104,44.1,3.1993,1.11,22.0912,2.8745,5.1574,231844.7956,167220.6556
688080.SH,20221103,42.18,2.0691,0.71,21.1294,2.7493,4.9328,221750.8725,159940.3005
688080.SH,20221102,41.54,2.6083,0.82,20.8088,2.7076,4.858,218386.2315,157513.5155
688080.SH,20221101,39.8,2.4194,0.81,19.9372,2.5942,4.6545,209238.6137,150915.6937
688080.SH,20221031,39.07,3.3942,1.28,19.5715,2.5466,4.5691,205400.82,148147.642
688080.SH,20221028,36.06,3.8877,1.9,18.0637,2.3504,4.2171,189576.4927,136734.1687
688080.SH,20221027,41.05,2.3514,1.28,20.5634,2.7398,4.8007,215810.1782,155655.5082
688080.SH,20221026,42.93,3.8966,3.03,21.5051,2.8653,5.0206,225693.8112,162784.1892
688080.SH,20221025,38.4,1.4888,1.23,19.2359,2.5629,4.4908,201878.4614,145607.1014
688080.SH,20221024,39.3,1.5868,1.26,19.6867,2.623,4.596,206609.9879,149019.7679
688080.SH,20221021,39.91,0.9135,0.67,19.9923,2.6637,4.6674,209816.9114,151332.7974
688080.SH,20221020,40.0,1.2782,0.95,20.0374,2.6697,4.6779,210290.064,151674.064
688080.SH,20221019,39.98,1.1523,0.86,20.0274,2.6684,4.6756,210184.919,151598.227
688080.SH,20221018,40.24,1.0982,0.85,20.1576,2.6857,4.706,211551.8044,152584.1084
688080.SH,20221017,40.63,1.8547,1.64,20.353,2.7118,4.7516,213602.1325,154062.9305
688080.SH,20221014,38.3,1.405,1.33,19.1858,2.5563,4.4791,201352.7363,145227.9163
688080.SH,20221013,37.13,1.2293,1.21,18.5997,2.4782,4.3423,195201.7519,140791.4499
688080.SH,20221012,36.2,1.1471,1.16,18.1338,2.4161,4.2335,190312.5079,137265.0279
688080.SH,20221011,34.53,0.8195,0.79,17.2973,2.3046,4.0382,181532.8977,130932.6357
688080.SH,20221010,34.55,1.0367,0.95,17.3073,2.306,4.0405,181638.0428,131008.4728
688080.SH,20220930,35.86,1.0467,0.88,17.9635,2.3934,4.1937,188525.0424,135975.7984
688080.SH,20220929,37.13,1.0283,0.86,18.5997,2.4782,4.3423,195201.7519,140791.4499
688080.SH,20220928,37.13,1.0049,0.81,18.5997,2.4782,4.3423,195201.7519,140791.4499
688080.SH,20220927,38.49,1.0525,0.85,19.281,2.5689,4.5013,202351.6141,145948.3681
688080.SH,20220926,37.48,1.3533,1.05,18.775,2.5123,4.3832,197041.79,141579.8979
688080.SH,20220923,37.3,1.5476,1.19,18.6849,2.5002,4.3621,196095.4847,140899.9518
688080.SH,20220922,39.02,1.0193,0.66,19.5465,2.6155,4.5633,205137.9574,147397.215
688080.SH,20220921,39.07,1.2757,0.79,19.518,2.6117,4.5566,204839.2669,147586.0889
688080.SH,20220920,39.51,0.9823,0.56,19.7378,2.6411,4.608,207146.1335,149248.1795
688080.SH,20220919,38.99,1.5893,0.9,19.4781,2.6063,4.5473,204419.8366,147283.8906
688080.SH,20220916,40.31,1.6317,0.81,20.1375,2.6946,4.7013,211340.4364,152270.1624
688080.SH,20220915,40.37,2.1894,0.97,20.1675,2.6986,4.7083,211655.0091,152496.8111
688080.SH,20220914,41.9,1.6852,0.69,20.9318,2.8009,4.8867,219676.6133,158276.3533
688080.SH,20220913,42.53,1.7122,0.62,21.2465,2.843,4.9602,222979.6269,160656.1649
688080.SH,20220909,42.36,1.6452,0.53,21.1616,2.8316,4.9403,222088.3375,160013.9935
