api_name,scope,status,row_count,min_date,max_date,field_count,fields,message
income,美格智能:002881.SZ,ok,52,20170825,20260430,11,"ts_code,ann_date,f_ann_date,end_date,report_type,total_revenue,revenue,operate_profit,total_profit,n_income,n_income_attr_p",
balancesheet,美格智能:002881.SZ,ok,53,20170825,20260430,9,"ts_code,ann_date,f_ann_date,end_date,total_assets,total_liab,total_hldr_eqy_inc_min_int,total_cur_assets,total_cur_liab",
cashflow,美格智能:002881.SZ,ok,56,20170825,20260430,8,"ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,n_cashflow_inv_act,n_cash_flows_fnc_act,c_cash_equ_end_period",
fina_indicator,美格智能:002881.SZ,ok,63,20170825,20260430,10,"ts_code,ann_date,end_date,roe,roa,grossprofit_margin,netprofit_margin,rd_exp,ocfps,bps",
forecast,美格智能:002881.SZ,ok,22,20170825,20250715,10,"ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,summary,change_reason",
express,美格智能:002881.SZ,ok,6,20180227,20250412,10,"ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps",
dividend,美格智能:002881.SZ,ok,31,20180427,20260331,12,"ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc",
repurchase,美格智能:002881.SZ,ok,56,20210203,20251202,9,"ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit",
pledge_stat,美格智能:002881.SZ,ok,537,20170804,20260612,7,"ts_code,end_date,pledge_count,unrest_pledge,rest_pledge,total_share,pledge_ratio",
stk_holdernumber,美格智能:002881.SZ,ok,51,20170804,20260430,4,"ts_code,ann_date,end_date,holder_num",
anns_d,美格智能:002881.SZ,error,0,,,0,,抱歉，您没有接口(anns_d)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
daily,博实结:301608.SZ,ok,450,20240801,20260612,11,"ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount",
daily_basic,博实结:301608.SZ,ok,450,20240801,20260612,10,"ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,ps,total_mv,circ_mv",
adj_factor,博实结:301608.SZ,ok,450,20240801,20260612,3,"ts_code,trade_date,adj_factor",
income,博实结:301608.SZ,ok,10,20240829,20260421,11,"ts_code,ann_date,f_ann_date,end_date,report_type,total_revenue,revenue,operate_profit,total_profit,n_income,n_income_attr_p",
balancesheet,博实结:301608.SZ,ok,10,20240829,20260421,9,"ts_code,ann_date,f_ann_date,end_date,total_assets,total_liab,total_hldr_eqy_inc_min_int,total_cur_assets,total_cur_liab",
cashflow,博实结:301608.SZ,ok,14,20240829,20260421,8,"ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,n_cashflow_inv_act,n_cash_flows_fnc_act,c_cash_equ_end_period",
fina_indicator,博实结:301608.SZ,ok,9,20241028,20260421,10,"ts_code,ann_date,end_date,roe,roa,grossprofit_margin,netprofit_margin,rd_exp,ocfps,bps",
forecast,博实结:301608.SZ,empty,0,,,10,"ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,summary,change_reason",
express,博实结:301608.SZ,empty,0,,,10,"ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps",
dividend,博实结:301608.SZ,ok,11,20240829,20260421,12,"ts_code,ann_date,end_date,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_proc",
repurchase,博实结:301608.SZ,empty,0,,,9,"ts_code,ann_date,end_date,proc,exp_date,vol,amount,high_limit,low_limit",
pledge_stat,博实结:301608.SZ,ok,92,20240927,20260612,7,"ts_code,end_date,pledge_count,unrest_pledge,rest_pledge,total_share,pledge_ratio",
stk_holdernumber,博实结:301608.SZ,ok,69,20240814,20260604,4,"ts_code,ann_date,end_date,holder_num",
anns_d,博实结:301608.SZ,error,0,,,0,,抱歉，您没有接口(anns_d)访问权限，权限的具体详情访问：https://tushare.pro/document/1?doc_id=108。
index_daily,399006.SZ,ok,3892,20100601,20260612,11,"ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount",
index_daily,000300.SH,ok,3991,20100104,20260612,11,"ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount",
index_daily,000905.SH,ok,3991,20100104,20260612,11,"ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount",
index_daily,000852.SH,ok,3991,20100104,20260612,11,"ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount",
