review_rank,analysis_group_id,company,symbol,event_date,title,primary_category,manual_review_status,manual_keep_for_model,manual_is_noise,manual_corrected_category,manual_confidence,manual_note_label,manual_reviewer,manual_review_date,keep_code,noise_code,category_code,confidence_code,note_code,review_reason,suggested_action
74,300098|2024-05-18|其他,高新兴,300098,2024-05-18,关于控股子公司进入创新层的提示性公告,其他,reclassified,1,0,产品/技术创新,大致确定,无特殊备注,user_numeric_review,2026-06-14,1,0,4,2,0,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
75,300590|2019-10-28|其他,移为通信,300590,2019-10-28,第二届董事会第二十次会议决议公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,category_other|subject_company|overlap_dirty_p20,优先人工重分类
76,300098|2021-07-09|其他,高新兴,300098,2021-07-09,高新兴科技集团股份有限公司章程修正案(2021年7月),其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
77,603236|2025-01-23|其他,移远通信,603236,2025-01-23,关于控股股东权益变动的提示性公告,其他,reclassified,1,0,资本动作,大致确定,无特殊备注,user_numeric_review,2026-06-14,1,0,2,2,0,top_negative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
78,300638|2021-06-05|其他,广和通,300638,2021-06-05,第二届监事会第二十九次会议决议公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
79,603236|2020-04-15|其他,移远通信,603236,2020-04-15,:移远通信关于公司2019年度利润分配及资本公积金转增股本方案的公告,其他,reclassified,1,0,资本动作,很确定,无特殊备注,user_numeric_review,2026-06-14,1,0,2,1,0,extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
80,002313|2013-05-18|其他,日海智能,2313,2013-05-18,日海通讯:简式权益变动报告书(2013-5-18),其他,reclassified,1,0,资本动作,大致确定,无特殊备注,user_numeric_review,2026-06-14,1,0,2,2,0,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
81,002313|2013-05-17|其他,日海智能,2313,2013-05-17,日海通讯:第二届监事会第二十三次会议决议公告,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
82,603236|2019-09-17|其他,移远通信,603236,2019-09-17,:移远通信2019年第三次临时股东大会的法律意见书,其他,noise,0,1,纯流程/其他,很确定,无特殊备注,user_numeric_review,2026-06-14,0,1,9,1,0,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
83,300098|2015-07-01|其他,高新兴,300098,2015-07-01,关于收到《中国证监会行政许可申请受理通知书》的公告,其他,reclassified,1,0,风险事件,很确定,无特殊备注,user_numeric_review,2026-06-14,1,0,7,1,0,extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类
