review_rank,review_reason,suggested_action,analysis_group_id,company,symbol,event_date,split,default_model_scope,primary_category,capital_action_subtype,source_type,source_types,title,group_titles_sample,relative_mv_return_p0_p20,abnormal_mv_impact_yi_p0_p20,actual_mv_return_p0_p20,peer_avg_mv_return_p0_p20,overlap_event_count_p0_p20,is_overlap_clean_p0_p20,source_count,group_event_count,group_source_count,has_main_label,is_default_training_candidate,manual_keep_for_model,manual_is_noise,manual_corrected_category,manual_notes
305,extreme_relative_label|subject_company|overlap_dirty_p20,检查同窗事件污染，必要时降为稳健性样本,300590|2020-10-29|政策/行业,移为通信,300590,2020-10-29,train,audit_or_aux,政策/行业,,research_report,research_report,2020年三季报点评：疫情影响仍未消除，关注经营拐点的到来,2020年三季报点评：疫情影响仍未消除，关注经营拐点的到来,0.317142965752612,18.274004886222,0.3463081861958268,0.0291652204432148,12,False,1,1,1,1,1,,,,
306,extreme_relative_label|subject_company|overlap_dirty_p20,检查同窗事件污染，必要时降为稳健性样本,300590|2020-10-29|业绩信号,移为通信,300590,2020-10-29,train,audit_or_aux,业绩信号,,announcement,announcement,2020年第三季度报告全文,2020年第三季度报告全文 || 2020年第三季度报告披露提示性公告,0.317142965752612,18.274004886222,0.3463081861958268,0.0291652204432148,12,False,1,2,1,1,1,,,,
307,extreme_relative_label|subject_company|overlap_dirty_p20,检查同窗事件污染，必要时降为稳健性样本,300590|2020-10-30|资本动作,移为通信,300590,2020-10-30,train,audit_or_aux,资本动作,复合资本动作,announcement,announcement,关于公司2018年限制性股票激励计划第二个解除限售期解除限售股份上市流通的提示性公告,关于公司2018年限制性股票激励计划第二个解除限售期解除限售股份上市流通的提示性公告,0.3327094497950137,17.868387121539428,0.3648305084745764,0.0321210586795626,9,False,1,1,1,1,1,,,,
308,category_other|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,002881|2023-11-16|其他,美格智能,2881,2023-11-16,valid,audit_or_aux,其他,,announcement,announcement,股票交易异常波动公告,股票交易异常波动公告,-0.1824574793393105,-16.301039859367393,-0.1685461748868342,0.0139113044524763,7,False,1,1,1,1,0,,,,
309,category_other|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,300098|2021-09-06|其他,高新兴,300098,2021-09-06,train,audit_or_aux,其他,,announcement,announcement,向特定对象发行股票之上市保荐书(2021/09/06),向特定对象发行股票之上市保荐书(2021/09/06) || 向特定对象发行股票之发行保荐书(2021/09/06) || 第五届董事会第二十四次会议决议的公告 || 向特定对象发行股票募集说明书(二次修订稿) || 高新兴科技集团股份有限公司2020年度向特定对象发行股票募集资金使用可行性分析报告(三次修订稿) || 独立董事对公司相关事项发表的独立意见,0.1997933650980856,13.560866278895858,0.1951807229329978,-0.0046126421650878,14,False,1,11,1,1,0,,,,
310,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,603236|2021-04-01|其他,移远通信,603236,2021-04-01,train,audit_or_aux,其他,,announcement,announcement,:验资报告,:验资报告,-0.1436662993562826,-37.6567608004224,-0.0990165500966517,0.0446497492596309,20,False,1,1,1,1,1,,,,
311,extreme_relative_label|category_other|overlap_dirty_p20,优先人工重分类,002881|2021-05-18|其他,美格智能,2881,2021-05-18,train,audit_or_aux,其他,,announcement,announcement,关于召开2020年年度股东大会的提示性公告,关于召开2020年年度股东大会的提示性公告,0.2996475644140211,8.691529283556001,0.5229591836734695,0.2233116192594484,8,False,1,1,1,1,1,,,,
312,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,300638|2020-11-21|其他,广和通,300638,2020-11-21,train,audit_or_aux,其他,,announcement,announcement,第二届董事会第二十六次会议决议公告,第二届董事会第二十六次会议决议公告 || 独立董事候选人声明 || 广发证券股份有限公司关于公司使用暂时闲置的募集资金及部分自有闲置资金进行现金管理事项的核查意见 || 独立董事关于第二届董事会第二十六次会议相关事项的独立意见 || 第二届监事会第二十三次会议决议公告 || 广发证券股份有限公司关于公司控股股东为公司向银行申请授信额度提供担保暨关联交易事项的核查意见,0.1561248419046195,22.95858894654525,0.023409067395874,-0.1327157745087455,13,False,1,12,1,1,1,,,,
313,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,300638|2025-05-14|其他,广和通,300638,2025-05-14,test,audit_or_aux,其他,,announcement,announcement,广东信达律师事务所关于深圳市广和通无线股份有限公司2024年度股东大会法律意见书,广东信达律师事务所关于深圳市广和通无线股份有限公司2024年度股东大会法律意见书 || 2024年度股东大会决议公告,-0.143526031888174,-34.48690259848526,-0.1210384356117038,0.0224875962764702,3,False,1,2,1,1,1,,,,
314,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,603236|2020-05-21|其他,移远通信,603236,2020-05-21,train,audit_or_aux,其他,,announcement,announcement,:移远通信2019年年度股东大会决议公告,:移远通信2019年年度股东大会决议公告 || :移远通信2019年年度股东大会的法律意见书,-0.1471744433562456,-27.939827665204003,-0.0431708526852144,0.1040035906710312,4,False,1,2,1,1,1,,,,
315,category_other|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,603236|2019-07-23|其他,移远通信,603236,2019-07-23,train,audit_or_aux,其他,,announcement,announcement,:移远通信股票交易异常波动公告(2019/07/23),:移远通信股票交易异常波动公告(2019/07/23),0.1908618504284062,14.4223658161128,0.4811616107092735,0.2902997602808673,6,False,1,1,1,1,0,,,,
316,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,300638|2025-12-03|其他,广和通,300638,2025-12-03,test,audit_or_aux,其他,,announcement,announcement,H股公告-截至2025年11月30日止月份之股份发行人的证券变动月报表,H股公告-截至2025年11月30日止月份之股份发行人的证券变动月报表,-0.1401045375089764,-39.31212060428859,-0.1395852139300052,0.0005193235789712,5,False,1,1,1,1,1,,,,
317,category_other|overlap_dirty_p20,优先人工重分类,300638|2020-03-23|其他,广和通,300638,2020-03-23,train,audit_or_aux,其他,,announcement,announcement,关于使用暂时闲置的募集资金进行现金管理的进展公告(2020/03/23),关于使用暂时闲置的募集资金进行现金管理的进展公告(2020/03/23),0.1770261462909756,16.25528892243973,0.0596636698285459,-0.1173624764624298,18,False,1,1,1,1,1,,,,
318,category_other|overlap_dirty_p20,优先人工重分类,300098|2024-10-30|其他,高新兴,300098,2024-10-30,test,audit_or_aux,其他,,announcement,announcement,第六届董事会第二十一次会议决议的公告,第六届董事会第二十一次会议决议的公告 || 关于续聘会计师事务所的公告 || 高新兴科技集团股份有限公司章程修正案(2024年10月) || 关于召开2024年第二次临时股东大会通知的公告 || 高新兴科技集团股份有限公司章程(2024年10月修订) || 第六届监事会第十三次会议决议的公告,0.1669453094751759,18.42670981309084,0.1221804511548612,-0.0447648583203147,6,False,1,6,1,1,1,,,,
319,category_other|overlap_dirty_p20,优先人工重分类,300098|2020-02-04|其他,高新兴,300098,2020-02-04,train,audit_or_aux,其他,,announcement,announcement,关于召开2020年第一次临时股东大会的提示性公告,关于召开2020年第一次临时股东大会的提示性公告,0.2175865241143041,11.545565350756323,0.5873684209244816,0.3697818968101775,13,False,1,1,1,1,1,,,,
320,category_other|overlap_dirty_p20,优先人工重分类,002881|2020-07-04|其他,美格智能,2881,2020-07-04,train,audit_or_aux,其他,,announcement,announcement,2020年第一次临时股东大会之法律意见书,2020年第一次临时股东大会之法律意见书 || 2020年第一次临时股东大会决议公告,-0.2160685780568789,-11.5843739609071,-0.181312955887461,0.034755622169418,4,False,1,2,1,1,1,,,,
321,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,603236|2020-12-03|其他,移远通信,603236,2020-12-03,train,audit_or_aux,其他,,announcement,announcement,:关于收到《中国证监会行政许可项目审查一次反馈意见通知书》的公告,:关于收到《中国证监会行政许可项目审查一次反馈意见通知书》的公告,0.144329183318121,31.276806284724,0.0049997311972476,-0.1393294521208735,7,False,1,1,1,1,1,,,,
322,category_other|overlap_dirty_p20,优先人工重分类,002881|2022-04-28|其他,美格智能,2881,2022-04-28,train,audit_or_aux,其他,,announcement,announcement,年度募集资金使用情况专项说明,年度募集资金使用情况专项说明 || 内部控制规则落实自查表 || 东莞证券关于美格智能2021年度募集资金存放与使用情况之专项核查意见 || 2021年度监事会工作报告 || 独立董事事前认可意见 || 关于注销募集资金专项账户的公告,0.2308582228638616,10.550458622407554,0.3607765139323302,0.1299182910684685,15,False,1,18,1,1,1,,,,
323,category_other|overlap_dirty_p20,优先人工重分类,002970|2025-07-11|其他,锐明技术,2970,2025-07-11,test,audit_or_aux,其他,,announcement,announcement,关于筹划公司在香港联合交易所有限公司上市的提示性公告,关于筹划公司在香港联合交易所有限公司上市的提示性公告,-0.1795150881882849,-15.260156185924824,-0.0802332596474294,0.0992818285408555,8,False,1,1,1,1,1,,,,
324,category_other|subject_company|overlap_dirty_p20,优先人工重分类,300590|2021-08-03|其他,移为通信,300590,2021-08-03,train,audit_or_aux,其他,,announcement,announcement,第三届董事会第十一次会议决议公告,第三届董事会第十一次会议决议公告 || 独立董事关于第三届董事会第十一次会议相关事项的独立意见,-0.1163937674393679,-8.473884239350797,-0.1445993031358884,-0.0282055356965205,4,False,1,2,1,1,1,,,,
325,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,603236|2026-05-27|其他,移远通信,603236,2026-05-27,test,audit_or_aux,其他,,news,news,强势股追踪 主力资金连续5日净流入78股,强势股追踪 主力资金连续5日净流入78股,0.1391186561515495,34.400906453100355,0.0051746452499368,-0.1339440109016128,7,False,1,1,1,1,1,,,,
326,category_other|overlap_dirty_p20,优先人工重分类,300098|2023-10-20|其他,高新兴,300098,2023-10-20,valid,audit_or_aux,其他,,announcement,announcement,高新兴科技集团股份有限公司信息披露管理制度(2023年10月),高新兴科技集团股份有限公司信息披露管理制度(2023年10月) || 关于控股子公司拟申请新三板终止挂牌的公告 || 第六届董事会第八次会议决议的公告,-0.1858651845774149,-14.132654417122374,-0.008528784647926,0.1773363999294889,7,False,1,3,1,1,1,,,,
327,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,603236|2019-10-31|其他,移远通信,603236,2019-10-31,train,audit_or_aux,其他,,announcement,announcement,:移远通信关于全资子公司投资建设智能制造中心的公告,:移远通信关于全资子公司投资建设智能制造中心的公告 || :移远通信第二届董事会第十二次会议决议公告,-0.1486512272284867,-23.58028328674201,-0.1812654265245921,-0.0326141992961053,1,False,1,2,1,1,1,,,,
328,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,300638|2023-04-24|其他,广和通,300638,2023-04-24,valid,audit_or_aux,其他,,announcement,announcement,2022年度内部控制自我评价报告,2022年度内部控制自我评价报告 || 关于公司2022年度日常关联交易确认及2023年度日常关联交易预计的公告 || 2022年度董事会工作报告 || 公司2022年度独立董事工作报告(张学斌) || 2022年度募集资金存放与使用情况的专项报告 || 广发证券股份有限公司关于深圳市广和通无线股份有限公司2022年度募集资金存放与使用情况专项核查报告,0.147602240769639,24.08438706311965,0.0686912404127222,-0.0789110003569168,26,False,1,26,1,1,1,,,,
329,category_other|overlap_dirty_p20,优先人工重分类,300638|2020-03-25|其他,广和通,300638,2020-03-25,train,audit_or_aux,其他,,announcement,announcement,关于使用暂时闲置的募集资金进行现金管理的进展公告(2020/03/25),关于使用暂时闲置的募集资金进行现金管理的进展公告(2020/03/25),0.1771799274890875,15.012961007500111,0.0926569327939039,-0.0845229946951836,18,False,1,1,1,1,1,,,,
330,category_other|overlap_dirty_p20,优先人工重分类,002881|2021-05-21|其他,美格智能,2881,2021-05-21,train,audit_or_aux,其他,,announcement,announcement,2020年年度股东大会之法律意见书,2020年年度股东大会之法律意见书 || 2020年年度股东大会决议公告,0.2856497097132707,8.090577626706471,0.5440041173443129,0.2583544076310421,6,False,1,2,1,1,1,,,,
331,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,300098|2018-04-25|其他,高新兴,300098,2018-04-25,train,audit_or_aux,其他,,announcement,announcement,独立董事叶伟明先生2017年度述职报告,独立董事叶伟明先生2017年度述职报告 || 非经营性资金占用及其他关联资金往来及对外担保情况专项审核说明 || 关于广州市国迈科技有限公司2017年度业绩承诺实现情况的说明 || 广发证券股份有限公司关于公司2015年发行股份及支付现金购买资产并募集配套资金暨关联交易之募集资金存放与实际使用情况专项核查报告 || 广发证券股份有限公司关于公司2017年发行股份及支付现金购买资产并募集配套资金之2017年持续督导意见 || 监事会2017年度工作报告,-0.1452843774908279,-24.983190427949005,-0.076904200159224,0.0683801773316039,21,False,1,24,1,1,1,,,,
332,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,603236|2023-07-25|其他,移远通信,603236,2023-07-25,valid,audit_or_aux,其他,,announcement,announcement,2023年第一次临时股东大会决议公告,2023年第一次临时股东大会决议公告 || 上海市锦天城律师事务所关于公司2023年第一次临时股东大会的法律意见书 || 关于2023年股票期权激励计划内幕信息知情人买卖公司股票情况的自查报告,-0.1454584320501153,-24.66925125004505,-0.2071016267249339,-0.0616431946748186,13,False,1,3,1,1,1,,,,
333,large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,300638|2020-08-17|其他,广和通,300638,2020-08-17,train,audit_or_aux,其他,,announcement,announcement,广发证券股份有限公司关于公司2020年半年度持续督导跟踪报告,广发证券股份有限公司关于公司2020年半年度持续督导跟踪报告 || 2020年第二次临时股东大会决议公告 || 2020年第二次临时股东大会法律意见书,-0.1398540390189837,-28.22380451605939,-0.2043442181244598,-0.0644901791054761,14,False,1,3,1,1,1,,,,
334,category_other|overlap_dirty_p20,优先人工重分类,002970|2024-04-24|其他,锐明技术,2970,2024-04-24,test,audit_or_aux,其他,,announcement,announcement,独立董事提名人声明与承诺(向怀坤),独立董事提名人声明与承诺(向怀坤) || 董事会决议公告 || 监事会决议公告 || 年度关联方资金占用专项审计报告 || 独立董事候选人声明与承诺(梁金华) || 年度募集资金使用情况专项说明,0.238560047814605,9.59153403702857,0.2873601749885182,0.0488001271739131,26,False,1,32,1,1,1,,,,
