事件日期,公司,事件类型,事件标题,同组事件数,事件前市值（亿元）,事件后20日市值（亿元）,"客观市值变化[0,+20]（亿元）","客观涨跌幅[0,+20]",同期竞品平均涨跌幅,同期竞品排名,可比公司数,"CAR[-1,+1]","CAR[0,+20]","异常市值影响[0,+20]（亿元）",事件综合评分
2021-08-03,广和通,其他,关于购买董监高责任险的公告,8,244.12458501,188.40498789,-55.71959712,-0.2282424652876218,-0.0162565125319872,8.0,8.0,-0.009565,-0.2375088571428571,-57.98175118619937,23.548235714285717
2021-08-03,广和通,资本动作,回购 预案 金额=138471.12,3,244.12458501,188.40498789,-55.71959712,-0.2282424652876218,-0.0162565125319872,8.0,8.0,-0.009565,-0.2375088571428571,-57.98175118619937,23.548235714285717
2017-03-28,高新兴,其他,2017年第三次临时股东大会的法律意见书,2,134.23809491999998,123.49044921,-10.74764571,-0.0800640512397402,-0.1272100866161473,1.0,3.0,0.0756,-0.4283166666666667,-57.49641335581801,31.588416666666664
2020-01-10,锐明技术,管理层/投关信号,调研活动信息20200110,1,130.92192,126.4032,-4.518719999999996,-0.0345146175674783,0.1258789752038514,4.0,7.0,0.0097191666666666,-0.4374324761904762,-57.26949965321143,22.72901190476191
2020-01-11,高新兴,其他,关于为全资子公司申请银行授信提供担保的公告,3,106.89006641,98.070754,-8.81931240999999,-0.0825082508244648,0.1747941225378464,6.0,7.0,-0.0388446666666666,-0.5309629285714286,-56.75466269624808,31.810238214285715
2019-07-08,高新兴,管理层/投关信号,2019年7月4日投资者关系活动记录表,1,144.10756478,120.47180752,-23.635757259999984,-0.164014687890141,0.0286921446435494,4.0,5.0,0.003824,-0.3877465500000001,-55.87721107234652,23.94197125
2021-04-06,移远通信,其他,:独立董事关于第二届董事会第二十四次会议相关事项的独立意见,5,257.75366077,199.59414712,-58.15951365,-0.2256399132266725,-0.0271628991852501,7.0,8.0,-0.0316685714285714,-0.2125508571428571,-54.78576152837273,23.480542857142854
2021-04-06,移远通信,资本动作,:关于公司购买房产的公告,1,257.75366077,199.59414712,-58.15951365,-0.2256399132266725,-0.0271628991852501,7.0,8.0,-0.0316685714285714,-0.2125508571428571,-54.78576152837273,22.08054285714286
2021-04-06,移远通信,产品/技术创新,:招商证券股份有限公司关于上海移远通信技术股份有限公司使用银行承兑汇票支付募投项目款项并以募集资金等额置换的核查意见,2,257.75366077,199.59414712,-58.15951365,-0.2256399132266725,-0.0271628991852501,7.0,8.0,-0.0316685714285714,-0.2125508571428571,-54.78576152837273,22.680542857142857
2021-02-06,移远通信,资本动作,:持股5%以上股东股份减持计划实施结果的公告,1,269.038224,225.857268,-43.18095600000001,-0.1605011933174224,0.0383256413889099,8.0,8.0,0.0831331428571428,-0.2003004285714286,-53.88847156929601,29.154755
2026-03-31,广和通,业绩信号,2025年年度报告,2,231.11132191,202.3348149,-28.77650700999999,-0.124513618684619,0.1113144516255563,9.0,9.0,-0.048872375,-0.2317074999999999,-53.55022662146132,22.72108375
2026-03-31,广和通,政策/行业,关于会计政策变更的公告,1,231.11132191,202.3348149,-28.77650700999999,-0.124513618684619,0.1113144516255563,9.0,9.0,-0.048872375,-0.2317074999999999,-53.55022662146132,22.12108375
