事件日期,公司,事件类型,事件标题,同组事件数,事件前市值（亿元）,事件后20日市值（亿元）,"客观市值变化[0,+20]（亿元）","客观涨跌幅[0,+20]",同期竞品平均涨跌幅,同期竞品排名,可比公司数,"CAR[-1,+1]","CAR[0,+20]","异常市值影响[0,+20]（亿元）",事件综合评分
2022-01-27,移为通信,业绩信号,预增 预计净利润15500-18300万,4,83.50130313,80.51693854,-2.98436459,-0.0357403355173242,0.0014542479362337,6.0,8.0,0.0931751428571428,-0.0342508571428571,-2.8599912047480376,35.10545428571428
2018-08-20,移为通信,产品/技术创新,关于使用闲置自有资金购买理财产品的公告(2018/08/20),1,32.96,35.456,2.496,0.0757281553398059,-0.0729706481082501,1.0,5.0,0.1519855,0.1593564999999999,5.25239024,34.76019
2017-01-24,移为通信,政策/行业,关于签订募集资金三方监管协议的公告,1,53.176,58.28,5.104,0.0959831502933654,-0.05008440562483,1.0,3.0,0.18015,0.15195,8.0800932,34.71325
2021-07-13,移为通信,资本动作,关于公司2021年限制性股票与股票期权激励计划内幕信息知情人及激励对象买卖公司股票情况的自查报告,1,61.1840142,81.10467468,19.92066048,0.3255860332223836,0.0432388444865031,1.0,8.0,-0.0416949761904761,0.2709407142857142,16.577240510215283,34.42995166666667
2017-06-16,移为通信,产品/技术创新,关于理财产品到期赎回及继续使用部分闲置募集资金购买理财产品的公告,1,47.36,57.92,10.56,0.222972972972973,-0.032237598200357,1.0,4.0,-0.0194666666666666,-0.343275,-16.257504000000004,34.130875
2021-07-13,移为通信,其他,2021年第三次临时股东大会的法律意见书,2,61.1840142,81.10467468,19.92066048,0.3255860332223836,0.0432388444865031,1.0,8.0,-0.0416949761904761,0.2709407142857142,16.577240510215283,34.02995166666667
2017-12-18,移为通信,产品/技术创新,关于理财产品到期赎回及继续使用部分闲置募集资金购买理财产品的公告(2017/12/18),1,56.72,41.12,-15.6,-0.2750352609308886,-0.0494852208568581,3.0,3.0,-0.0755499999999999,-0.3091833333333332,-17.536878666666663,34.01025
2020-10-31,移为通信,产品/技术创新,关于理财产品到期赎回及继续使用自有资金进行现金管理的公告,1,55.41924960000001,82.3295583,26.910308699999995,0.4855769230769229,0.0525285196710136,1.0,8.0,-0.0063669999999999,0.3799682857142857,21.05755726608412,33.58233142857143
2022-04-14,移为通信,其他,国信证券股份有限公司关于公司2021年度募集资金存放与使用情况的核查意见,39,60.6008728,51.16053583,-9.44033697,-0.1557788944914337,-0.0819440735765975,6.0,8.0,-0.0784648571428571,-0.0621047857142857,-3.763604219342685,33.44775821428571
2020-02-03,移为通信,产品/技术创新,关于理财产品到期赎回及继续使用闲置募集资金和自有资金进行现金管理的公告(2020/02/03),1,75.964896,93.615753,17.650857000000006,0.2323554421768707,0.2243070813877633,5.0,8.0,-0.2375428571428572,0.000836857142857,0.0635717658239928,32.27929285714286
2020-10-30,移为通信,资本动作,关于公司2018年限制性股票激励计划第二个解除限售期解除限售股份上市流通的提示性公告,1,57.163212,78.0180957,20.85488370000001,0.3648305084745764,0.0321210586795626,1.0,8.0,-0.0456594285714285,0.3125854285714285,17.868387121539428,32.16311857142857
2017-04-18,移为通信,其他,独立董事关于第一届董事会第十九次会议相关事项的独立意见,21,50.96,55.12,4.16,0.0816326530612245,0.3708886892410142,2.0,4.0,-0.0571999999999999,-0.1639333333333333,-8.354042666666668,31.826
2017-12-20,移为通信,其他,第二届监事会第四次会议决议公告,7,53.504,42.576,-10.928,-0.2042464114832536,-0.0646273747094773,4.0,4.0,-0.0505333333333333,-0.1908833333333333,-10.213021866666663,31.752666666666663
2019-03-16,移为通信,业绩信号,预增 预计净利润2300-2470万,5,71.54007,69.11771999999999,-2.42235,-0.0338600451467269,0.1090163730239396,5.0,5.0,-0.034286,-0.132773,-9.49858971411,31.2555425
2022-04-14,移为通信,业绩信号,2022年一季度报告,3,60.6008728,51.16053583,-9.44033697,-0.1557788944914337,-0.0819440735765975,6.0,8.0,-0.0784648571428571,-0.0621047857142857,-3.763604219342685,31.247758214285717
2022-04-14,移为通信,资本动作,分红送转 cash_div=0.15 proc=实施,4,60.6008728,51.16053583,-9.44033697,-0.1557788944914337,-0.0819440735765975,6.0,8.0,-0.0784648571428571,-0.0621047857142857,-3.763604219342685,30.84775821428571
2024-04-22,移为通信,其他,董事会决议公告,27,55.69966875,50.42334099,-5.276327759999997,-0.0947281712514672,0.0995878717048826,8.0,8.0,-0.050686,-0.191572,-10.670496941775005,30.81980857142857
2017-12-21,移为通信,产品/技术创新,关于理财产品到期赎回及继续使用部分闲置募集资金购买理财产品的公告(2017/12/21),1,51.568,42.208,-9.36,-0.1815079118833384,-0.0557667706984756,4.0,4.0,-0.0745583333333333,-0.1720999999999999,-8.8748528,30.414666666666665
2020-10-29,移为通信,业绩信号,2020年第三季度报告全文,2,60.3604764,81.26380350000001,20.90332710000001,0.3463081861958268,0.0291652204432148,1.0,8.0,-0.0581058571428571,0.3027478571428572,18.274004886222,30.342007857142857
2024-09-20,移为通信,资本动作,关于回购注销2021年限制性股票与股票期权激励计划部分第一类限制性股票的公告,8,45.75390627,68.07960753,22.32570126,0.487951807398761,0.4190744314579939,3.0,9.0,0.012425875,0.08355225,3.82284181514761,30.158982500000004
2021-01-25,移为通信,产品/技术创新,关于公司申请向特定对象发行股票的发行注册环节反馈意见落实函回复报告(修订稿)(上海移为通信技术股份有限公司),1,75.35370870000001,67.62698639999999,-7.726722300000011,-0.1025393764063004,-0.0093679484160614,7.0,8.0,-0.1569488571428571,-0.0873211428571429,-6.579971962208233,29.95884428571429
2025-04-15,移为通信,业绩信号,预减 预计:净利润886-1240,4,56.61131565,56.65730372,0.0459880699999979,0.0008123476635717,0.1744760882196528,9.0,9.0,-0.035605,-0.1511251249999999,-8.555392154020705,29.866303125
2019-10-28,移为通信,业绩信号,2019年第三季度报告披露提示性公告,2,50.38488,55.164984,4.780103999999998,0.0948717948717947,-0.0976159464685189,1.0,6.0,0.0815818,0.1975739999999999,9.954742281119998,29.821444
2017-06-29,移为通信,其他,关于全资子公司完成工商变更登记的公告,1,43.472,44.928,1.456,0.0334928229665072,0.0965775929013856,3.0,4.0,-0.1027333333333333,-0.2311166666666666,-10.047103733333334,29.747833333333336
2022-04-14,移为通信,产品/技术创新,关于上海移为通信技术股份有限公司非经营性资金占用及其他关联资金往来情况的专项报告,2,60.6008728,51.16053583,-9.44033697,-0.1557788944914337,-0.0819440735765975,6.0,8.0,-0.0784648571428571,-0.0621047857142857,-3.763604219342685,29.647758214285712
2022-04-14,移为通信,管理层/投关信号,关于举行2021年度网上业绩说明会的公告,2,60.6008728,51.16053583,-9.44033697,-0.1557788944914337,-0.0819440735765975,6.0,8.0,-0.0784648571428571,-0.0621047857142857,-3.763604219342685,29.647758214285712
2024-07-27,移为通信,资本动作,关于作废2021年限制性股票与股票期权激励计划首次授予部分已授予尚未归属的第二类限制性股票的公告,5,50.83628207,47.086098320000005,-3.7501837499999966,-0.073769827322071,-0.0992977562071445,2.0,8.0,0.0914757142857143,-0.053462875,-2.717853793773151,29.266560267857145
2017-12-20,移为通信,产品/技术创新,关于购置募集资金投资项目研发用办公楼的公告,1,53.504,42.576,-10.928,-0.2042464114832536,-0.0646273747094773,4.0,4.0,-0.0505333333333333,-0.1908833333333333,-10.213021866666663,29.15266666666667
2017-06-15,移为通信,其他,关于公司完成工商变更登记的公告,1,45.856,58.272,12.416,0.2707606420097697,-0.0039118937223466,1.0,4.0,0.0023666666666666,-0.3215083333333333,-14.74308613333333,28.728708333333334
