base_feature,representation,column,missing_rate,ic_train,ic_test,n_train,n_test,sign_stable_nontrivial
signal_strength_num,xsrank,signal_strength_num__xsrank,0.0,-0.014,-0.0178,3905,1620,False
peer_avg_log_total_mv_pre,selfz,peer_avg_log_total_mv_pre__selfz,0.0438,-0.068,0.0175,3871,1617,False
text_policy_keyword_count,yoy,text_policy_keyword_count__yoy,0.0505,-0.0037,0.017,3697,1620,False
evt_negative_word_count,raw,evt_negative_word_count,0.0,-0.0079,-0.0169,3905,1620,False
evt_negative_word_count,xsdemed,evt_negative_word_count__xsdemed,0.0,-0.0079,-0.0169,3905,1620,False
mkt_ret_m20_m1,yoy,mkt_ret_m20_m1__yoy,0.0894,0.0056,0.0168,3533,1568,False
text_tech_keyword_count,raw,text_tech_keyword_count,0.0,0.0316,-0.0166,3905,1620,False
text_tech_keyword_count,xsdemed,text_tech_keyword_count__xsdemed,0.0,0.0316,-0.0166,3905,1620,False
text_order_keyword_count,selfz,text_order_keyword_count__selfz,0.1221,-0.0035,-0.0166,3402,1504,False
peer_avg_ret_m5_m1,xsdemed,peer_avg_ret_m5_m1__xsdemed,0.0406,-0.0536,0.0162,3888,1620,False
text_digit_count,xsrank,text_digit_count__xsrank,0.0,-0.0185,0.016,3905,1620,False
signal_strength_num,raw,signal_strength_num,0.0,,0.0159,3905,1620,False
signal_strength_num,yoy,signal_strength_num__yoy,0.0505,,0.0159,3697,1620,False
signal_strength_num,xsdemed,signal_strength_num__xsdemed,0.0,,0.0159,3905,1620,False
peer_avg_turnover_avg_m20_m1,yoy,peer_avg_turnover_avg_m20_m1__yoy,0.1114,0.1291,-0.0159,3490,1568,False
mgmt_ir_qa_count_m180,raw,mgmt_ir_qa_count_m180,0.0,,0.0156,3905,1620,False
mgmt_ir_qa_count_m90,raw,mgmt_ir_qa_count_m90,0.0,,0.0156,3905,1620,False
mgmt_ir_qa_count_m180,yoy,mgmt_ir_qa_count_m180__yoy,0.0505,,0.0156,3697,1620,False
mgmt_ir_qa_count_m90,yoy,mgmt_ir_qa_count_m90__yoy,0.0505,,0.0156,3697,1620,False
bal_current_ratio,selfz,bal_current_ratio__selfz,0.0506,-0.0971,0.0155,3739,1604,False
evt_money_count,raw,evt_money_count,0.0,-0.0074,0.0146,3905,1620,False
ret_m20_m1,xsdemed,ret_m20_m1__xsdemed,0.0244,-0.0241,-0.0146,3872,1620,False
evt_money_count,xsdemed,evt_money_count__xsdemed,0.0,-0.0074,0.0146,3905,1620,False
text_digit_count,raw,text_digit_count,0.0,0.003,0.0138,3905,1620,False
text_percent_count,yoy,text_percent_count__yoy,0.0505,-0.0259,-0.0137,3697,1620,False
evt_percent_mean,selfz,evt_percent_mean__selfz,0.9616,-0.1104,-0.0136,138,85,False
peer_avg_ps_pre,xsdemed,peer_avg_ps_pre__xsdemed,0.0395,0.0581,-0.0135,3895,1620,False
ps_pre,raw,ps_pre,0.0205,-0.0513,-0.0134,3897,1620,False
fin_rd_exp,xsrank,fin_rd_exp__xsrank,0.3781,0.0129,-0.0134,2761,565,False
peer_avg_turnover_avg_m5_m1,yoy,peer_avg_turnover_avg_m5_m1__yoy,0.1089,0.0951,0.0134,3506,1568,False
evt_percent_count,yoy,evt_percent_count__yoy,0.0505,-0.0231,-0.0134,3697,1620,False
text_char_len,raw,text_char_len,0.0,0.0063,-0.0131,3905,1620,False
evt_negative_word_count,yoy,evt_negative_word_count__yoy,0.0505,-0.0235,0.0129,3697,1620,False
fin_roe,raw,fin_roe,0.0753,0.081,0.0124,3595,1605,False
cf_operating_cash_to_assets,xsrank,cf_operating_cash_to_assets__xsrank,0.0342,-0.0083,0.0122,3826,1619,False
group_event_count,selfz,group_event_count__selfz,0.0047,0.0016,-0.0121,3905,1620,False
group_evidence_count,selfz,group_evidence_count__selfz,0.0047,0.0016,-0.0121,3905,1620,False
text_capital_keyword_count,raw,text_capital_keyword_count,0.0,-0.003,-0.0117,3905,1620,False
text_capital_keyword_count,xsdemed,text_capital_keyword_count__xsdemed,0.0,-0.003,-0.0117,3905,1620,False
evt_negative_word_count,selfz,evt_negative_word_count__selfz,0.0102,-0.0558,-0.0116,3905,1620,False
peer_avg_turnover_avg_m5_m1,raw,peer_avg_turnover_avg_m5_m1,0.0402,0.0399,-0.011,3891,1620,False
cf_operating_cash_to_assets,selfz,cf_operating_cash_to_assets__selfz,0.0506,-0.0671,0.0109,3739,1604,False
cf_operating_cash_to_assets,raw,cf_operating_cash_to_assets,0.0333,-0.0433,0.0108,3828,1619,False
text_digit_count,xsdemed,text_digit_count__xsdemed,0.0,-0.0315,0.0105,3905,1620,False
text_char_len,selfz,text_char_len__selfz,0.0042,0.0098,-0.0104,3905,1620,False
text_capital_keyword_count,selfz,text_capital_keyword_count__selfz,0.0394,-0.0608,-0.0103,3795,1616,False
mkt_ret_m5_m1,selfz,mkt_ret_m5_m1__selfz,0.0281,-0.0317,0.0102,3875,1617,False
mgmt_signal_count_m30,xsdemed,mgmt_signal_count_m30__xsdemed,0.0,0.0159,0.0101,3905,1620,False
mgmt_ir_qa_count_m30,xsrank,mgmt_ir_qa_count_m30__xsrank,0.0,-0.014,0.01,3905,1620,False
text_order_keyword_count,raw,text_order_keyword_count,0.0,-0.02,0.0096,3905,1620,False
text_order_keyword_count,xsdemed,text_order_keyword_count__xsdemed,0.0,-0.02,0.0096,3905,1620,False
fin_rd_exp,selfz,fin_rd_exp__selfz,0.3975,0.053,-0.0095,2653,552,False
evt_money_count,selfz,evt_money_count__selfz,0.0903,-0.0236,-0.0095,3586,1503,False
rel_to_peer_ps_pre,raw,rel_to_peer_ps_pre,0.0395,-0.044,0.0092,3895,1620,False
peer_avg_turnover_avg_m60_m1,xsrank,peer_avg_turnover_avg_m60_m1__xsrank,0.0508,0.0991,0.0091,3830,1613,False
