ts_code,end_date,pledge_count,unrest_pledge,rest_pledge,total_share,pledge_ratio
002151.SZ,20230811,0,0.0,0.0,54415.9258,0.0
002151.SZ,20230804,0,0.0,0.0,54415.9258,0.0
002151.SZ,20230728,0,0.0,0.0,54415.9258,0.0
002151.SZ,20230721,0,0.0,0.0,54415.9258,0.0
002151.SZ,20230714,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230707,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230630,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230621,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230616,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230609,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230602,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230526,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230519,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230512,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230505,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230428,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230421,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230414,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230407,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230331,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230324,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230317,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230310,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230303,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230224,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230217,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230210,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230203,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230120,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230113,0,0.0,0.0,51278.4757,0.0
002151.SZ,20230106,0,0.0,0.0,51278.4757,0.0
002151.SZ,20221230,0,0.0,0.0,51278.4757,0.0
002151.SZ,20221223,0,0.0,0.0,51278.4757,0.0
002151.SZ,20221216,0,0.0,0.0,51278.4757,0.0
002151.SZ,20221209,0,0.0,0.0,51278.4757,0.0
002151.SZ,20221202,0,0.0,0.0,51278.4757,0.0
