LOCAL_COMPANY_NAME,LOCAL_SYMBOL,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
三旺通信,688618,688618,122.83亿元主力资金今日撤离通信板块,-1.19 2.81 1401.90 300628 亿联网络 -0.39 1.32 963.38 600050 中国联通 -0.22 0.57 920.03 301307 美利信 -9.86 16.77 882.72 688182 灿勤科技 -2.26 3.33 809.25 688618,2026-05-26 16:55:00,证券时报网,http://finance.eastmoney.com/a/202605263749741296.html
三旺通信,688618,688618,光纤概念上涨3.34%，23股主力资金净流入超亿元,300079 数码视讯 0.57 2.36 -89.40 -0.56 688450 光格科技 1.49 3.46 -260.07 -3.36 301172 君逸数码 -1.03 5.08 -292.22 -1.68 603703 盛洋科技 2.20 2.31 -327.26 -2.55 688618,2026-05-28 17:25:00,证券时报网,http://finance.eastmoney.com/a/202605283752865754.html
利尔达,920249,920249,11只北交所股票融资余额增加超500万元,421.58 1.37 电子 920971 天马新材 5.34 7476.19 357.42 1.98 基础化工 920284 灵鸽科技 1.98 4391.88 316.93 2.35 机械设备 920808 曙光数创 4.65 19189.29 289.86 1.26 计算机 920249,2026-06-10 10:10:00,证券时报网,http://finance.eastmoney.com/a/202606103766241960.html
利尔达,920249,920249,北交所成交活跃股排行榜,远航精密 21.50 6.07 2.56 5453.51 920223 荣亿精密 14.54 -1.02 4.41 5368.43 920418 苏轴股份 22.00 -0.86 1.49 5268.66 920037 广信科技 42.55 -1.80 2.93 5265.69 920249,2026-06-12 16:57:00,证券时报网,http://finance.eastmoney.com/a/202606123769960297.html
利尔达,920249,920249,杠杆资金加仓北交所股票名单,447.38 0.85 有色金属 920273 一致魔芋 8.92 2129.79 307.76 1.25 农林牧渔 920368 连城数控 5.97 30274.29 303.43 4.02 电力设备 920808 曙光数创 0.63 19421.84 271.69 1.32 计算机 920249,2026-06-04 09:39:00,证券时报网,http://finance.eastmoney.com/a/202606043759974090.html
利尔达,920249,920249,北交所股票成交概况：22股上涨，296股下跌,汉鑫科技 29.25 -9.86 6.93 6711.48 920037 广信科技 43.33 -4.98 3.66 6628.25 920152 昆工科技 19.65 -5.53 3.99 6607.74 920247 华密新材 17.25 -7.51 2.71 6499.24 920249,2026-06-11 16:52:00,证券时报网,http://finance.eastmoney.com/a/202606113768332014.html
利尔达,920249,920249,北交所股票全天成交额266.37亿元，70股成交额超亿元,8.38 2.95 3.93 14965.73 920046 亿能电力 28.29 0.11 9.37 14796.89 920156 海昌智能 60.93 -0.05 11.16 14685.42 920181 赛英电子 101.16 5.04 14.42 14428.00 920249,2026-06-09 16:36:00,证券时报网,http://finance.eastmoney.com/a/202606093765146212.html
利尔达,920249,920249,利尔达920249.BJ)：2026年一季报净利润为1475.86万元,2026年4月21日，利尔达920249.BJ)发布2026年一季报。 公司营业总收入为6.48亿元。归母净利润为1475.86万元。经营活动现金净流入为2595.53万元。,2026-04-22 09:06:33,界面新闻,http://finance.eastmoney.com/a/202604223713495664.html
利尔达,920249,920249,234只北交所股票今日上涨,920227 美登科技 68.00 2.95 7.88 9393.86 920174 五新智能 37.51 1.43 4.34 9056.14 920885 星辰科技 15.67 -1.14 6.37 8998.81 920371 欧福蛋业 9.72 6.11 4.69 8845.05 920249,2026-06-08 17:12:00,证券时报网,http://finance.eastmoney.com/a/202606083763667663.html
利尔达,920249,920249,利尔达920249.BJ)：2026年一季报净利润为1475.86万元、同比较去年同期上涨396.67%,2026年4月21日，利尔达920249.BJ)发布2026年一季报。 公司营业总收入为6.48亿元，较去年同报告期营业总收入增加1.22亿元，实现2年连续上涨，同比较去年同期上涨23.27%。,2026-04-22 08:56:39,界面新闻,http://finance.eastmoney.com/a/202604223713395773.html
利尔达,920249,920249,295只北交所股票今日上涨,铜冠矿建 19.25 3.77 3.40 10807.99 920225 利通科技 23.40 -1.43 5.48 10736.68 920062 科润智控 11.28 3.87 6.95 10384.50 920171 志晟信息 20.28 3.95 7.60 10373.89 920249,2026-06-05 16:13:00,证券时报网,http://finance.eastmoney.com/a/202606053761964888.html
利尔达,920249,920249,北交所成交活跃股：12股换手率超20%,同惠电子 30.50 -3.39 3.03 7834.51 920019 铜冠矿建 18.55 -3.39 2.46 7618.87 920427 华维设计 14.18 -4.06 10.05 7246.06 920015 锦华新材 44.75 1.20 4.03 7201.22 920249,2026-06-04 16:29:00,证券时报网,http://finance.eastmoney.com/a/202606043760440641.html
东软载波,300183,300183,创业板股最新筹码变动：4股股东户数降逾一成,医药生物 301258 富士莱 8163 -0.79 -5.12 医药生物 300045 华力创通 87057 -0.50 -2.51 国防军工 300856 科思股份 20100 -0.50 -5.27 美容护理 300899 上海凯鑫 4866 -0.47 -5.86 环保 300183,2026-06-15 11:22:00,证券时报网,http://finance.eastmoney.com/a/202606153771316848.html
东软载波,300183,300183,创业板股最新股东户数降幅排行榜,300950 德固特 14106 -1.21 -8.70 机械设备 300699 光威复材 94639 -1.02 -8.79 国防军工 300359 全通教育 30677 -0.98 -6.54 社会服务 300856 科思股份 20100 -0.50 -5.58 美容护理 300183,2026-06-12 10:46:00,证券时报网,http://finance.eastmoney.com/a/202606123769653253.html
东软载波,300183,300183,最新股东户数揭秘：这123股股东户数连降三期,0.58 4 -15.75 -15.37 002677 浙江美大 45764 -0.56 6 -13.90 -16.67 002633 申科股份 9360 -0.51 3 -16.58 -14.59 002363 隆基机械 34160 -0.50 5 -20.71 -21.06 300183,2026-06-15 16:25:00,证券时报网,http://finance.eastmoney.com/a/202606153771573791.html
东软载波,300183,300183,79股筹码连续3期集中,0.64 3 -15.16 -11.61 000548 湖南投资 40047 -0.63 4 -15.38 -13.42 002633 申科股份 9360 -0.51 3 -17.38 -13.83 002363 隆基机械 34160 -0.50 5 -21.06 -19.82 300183,2026-06-12 16:57:00,证券时报网,http://finance.eastmoney.com/a/202606123769961666.html
