LOCAL_COMPANY_NAME,LOCAL_SYMBOL,代码,简称,公告标题,公告时间,公告链接
日海智能,002313,002313,日海通讯,第一届监事会2009年度工作报告,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735849&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,独立董事2009年度述职报告（童新）,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735848&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,独立董事2009年度述职报告（章书涛）,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735847&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,独立董事2009年度述职报告（吴玉光）,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735846&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,年报信息披露重大差错责任追究制度（2010年3月）,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735845&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,平安证券有限责任公司关于公司2009年度募集资金存放与使用情况的核查意见,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735844&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,平安证券有限责任公司关于公司2009年度内部控制自我评价报告的核查意见,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735843&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,独立董事对相关事项发表的独立意见,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735842&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,募集资金2009年度使用情况的鉴证报告,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735841&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,董事会关于2009年度募集资金存放与使用情况专项报告,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735840&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,截止2009年12月31日内部控制鉴证报告,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735839&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,董事会关于2009年度内部控制自我评价报告,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735838&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,控股股东及其他关联方资金占用情况的专项说明,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735835&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,第一届监事会第十二次会议决议公告,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735834&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,关于召开2009年年度股东大会的通知,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735833&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,第一届董事会第二十五次会议决议公告,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735832&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,2009年年度审计报告,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735831&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,2009年年度报告摘要,2010-03-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57735830&orgId=9900009111&announcementTime=2010-03-29 06:30:00
日海智能,002313,002313,日海通讯,关于设立全资子公司的公告,2010-03-15 06:31:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57683430&orgId=9900009111&announcementTime=2010-03-15 06:31:00
日海智能,002313,002313,日海通讯,关于网下配售股票上市流通的提示性公告,2010-02-26 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57626926&orgId=9900009111&announcementTime=2010-02-26 06:30:00
日海智能,002313,002313,日海通讯,关于完成住所及注册资本变更手续的公告,2010-02-25 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57623074&orgId=9900009111&announcementTime=2010-02-25 06:30:00
日海智能,002313,002313,日海通讯,2009年度业绩快报,2010-02-24 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57619720&orgId=9900009111&announcementTime=2010-02-24 06:30:00
日海智能,002313,002313,日海通讯,2010年第二次临时股东大会法律意见书,2010-01-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57555624&orgId=9900009111&announcementTime=2010-01-29 06:30:00
日海智能,002313,002313,日海通讯,2010年第二次临时股东大会决议公告,2010-01-29 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57555623&orgId=9900009111&announcementTime=2010-01-29 06:30:00
日海智能,002313,002313,日海通讯,2009年度业绩预告,2010-01-27 06:39:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57546664&orgId=9900009111&announcementTime=2010-01-27 06:39:00
日海智能,002313,002313,日海通讯,重大信息内部报告制度（2010年1月）,2010-01-13 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57498673&orgId=9900009111&announcementTime=2010-01-13 06:30:00
日海智能,002313,002313,日海通讯,选聘会计师事务所专项制度（2010年1月）,2010-01-13 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57498672&orgId=9900009111&announcementTime=2010-01-13 06:30:00
日海智能,002313,002313,日海通讯,董事会薪酬与考核委员会议事规则（2010年1月）,2010-01-13 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57498671&orgId=9900009111&announcementTime=2010-01-13 06:30:00
日海智能,002313,002313,日海通讯,董事会秘书工作制度（2010年1月）,2010-01-13 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57498670&orgId=9900009111&announcementTime=2010-01-13 06:30:00
日海智能,002313,002313,日海通讯,董事会提名委员会议事规则（2010年1月）,2010-01-13 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57498669&orgId=9900009111&announcementTime=2010-01-13 06:30:00
日海智能,002313,002313,日海通讯,董事会审计委员会议事规则（2010年1月）,2010-01-13 06:30:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002313&announcementId=57498668&orgId=9900009111&announcementTime=2010-01-13 06:30:00
