ts_code,ann_date,subtype,scope,event_day,rel,pe_pre,val_pct,firm
688618.SH,20260522,股份回购(首发),14firm,20260522,-0.06274928591185036,118.9432,0.9787717968157695,三旺通信
688618.SH,20260430,股份回购(首发),14firm,20260430,-0.042148522211883706,122.7261,0.9833206974981046,三旺通信
688618.SH,20251031,股份回购(首发),14firm,20251031,0.06567151800328325,89.7955,0.8733889310083397,三旺通信
688618.SH,20251023,股份回购(首发),14firm,20251023,0.1223518108468618,87.6471,0.846095526914329,三旺通信
688618.SH,20250523,股份回购(首发),14firm,20250523,0.07180238850283496,71.2472,0.7558756633813495,三旺通信
688618.SH,20250430,股份回购(首发),14firm,20250430,-0.004391979012743449,20.0147,0.03184230477634572,三旺通信
688618.SH,20241120,股份回购(首发),14firm,20241120,-0.0729206647387098,23.1585,0.09931766489764973,三旺通信
688618.SH,20241031,股份回购(首发),14firm,20241031,-0.012384595972743155,24.0768,0.1243366186504928,三旺通信
688618.SH,20240327,股份回购(首发),14firm,20240327,0.1274915895287881,31.7424,0.2789992418498863,三旺通信
688618.SH,20240219,股份回购(首发),14firm,20240219,-0.1743546727224432,29.7018,0.221379833206975,三旺通信
688618.SH,20240208,股份回购(首发),14firm,20240208,-0.07597479150453951,24.7528,0.14101592115238817,三旺通信
002881.SZ,20251017,股份回购(首发),14firm,20251017,-0.04971408857793663,88.2966,0.5713630105553006,美格智能
002881.SZ,20250611,股份回购(首发),14firm,20250611,0.0028664571440976372,86.7063,0.5456631482331344,美格智能
002881.SZ,20250319,股份回购(首发),14firm,20250319,0.08165322085055773,209.0063,0.9178522257916475,美格智能
002881.SZ,20250301,股份回购(首发),14firm,20250303,-0.12920791290493058,230.1099,0.9421753097751262,美格智能
002881.SZ,20241115,股份回购(首发),14firm,20241115,0.08698625451120276,103.8944,0.6759981642955484,美格智能
002881.SZ,20241105,股份回购(首发),14firm,20241105,-0.1009327566519871,105.0308,0.679669573198715,美格智能
002881.SZ,20240201,股份回购(首发),14firm,20240201,0.21100340278936922,38.4528,0.0032124827902707664,美格智能
002881.SZ,20230613,股份回购(首发),14firm,20230613,-0.1675837956865812,74.0788,0.38182652592932537,美格智能
002881.SZ,20230404,股份回购(首发),14firm,20230404,-0.1010715156956505,74.7492,0.38871041762276276,美格智能
002881.SZ,20230317,股份回购(首发),14firm,20230317,0.1753768097561352,58.0217,0.12482790270766407,美格智能
002881.SZ,20220412,股份回购(首发),14firm,20220412,0.14237592564844426,206.0963,0.9123451124368976,美格智能
002881.SZ,20220325,股份回购(首发),14firm,20220325,0.017980639203547588,250.7479,0.9541073887104177,美格智能
002881.SZ,20210831,股份回购(首发),14firm,20210831,-0.0883850686107905,216.5608,0.9302432308398347,美格智能
002881.SZ,20210814,股份回购(首发),14firm,20210816,-0.09625936147013453,225.234,0.9380449747590638,美格智能
002881.SZ,20210713,股份回购(首发),14firm,20210713,0.07510025909699876,193.7526,0.895823772372648,美格智能
002881.SZ,20210521,股份回购(首发),14firm,20210521,0.34250696439006967,130.6704,0.7443781551170262,美格智能
002881.SZ,20210428,股份回购(首发),14firm,20210428,0.010178621817814107,153.4979,0.7985314364387334,美格智能
002881.SZ,20210203,股份回购(首发),14firm,20210203,0.2550833464095443,118.7081,0.7195961450206517,美格智能
688159.SH,20260430,股份回购(首发),14firm,20260430,0.09992524089845106,40.4736,0.1445993031358885,有方科技
688159.SH,20250430,股份回购(首发),14firm,20250430,0.4093760025348659,,,有方科技
688159.SH,20240430,股份回购(首发),14firm,20240430,-0.16164419107971217,,,有方科技
300590.SZ,20241009,股份回购(首发),14firm,20241009,-0.2644065981428858,56.3467,0.8372306281522237,移为通信
300590.SZ,20240920,股份回购(首发),14firm,20240920,-0.16594102765701202,31.1785,0.07106831728564879,移为通信
300590.SZ,20230831,股份回购(首发),14firm,20230831,0.000943724160667396,30.1112,0.044475011462631824,移为通信
300590.SZ,20210609,股份回购(首发),14firm,20210609,-0.0014750481689814118,61.9757,0.8693259972489684,移为通信
300590.SZ,20210525,股份回购(首发),14firm,20210525,-0.10452727492656766,58.1524,0.8514442916093535,移为通信
300590.SZ,20200520,股份回购(首发),14firm,20200520,-0.04061554440085101,43.2916,0.5754241173773499,移为通信
300590.SZ,20200428,股份回购(首发),14firm,20200428,-0.006010961625021807,49.5874,0.7542411737734984,移为通信
002869.SZ,20260428,分红/权益分派,14firm,20260428,-0.12767779346464622,47.8708,0.4966338684619368,金溢科技
002869.SZ,20250826,分红/权益分派,14firm,20250826,0.08848838872917084,65.1379,0.6110823407560849,金溢科技
002869.SZ,20250422,分红/权益分派,14firm,20250422,-0.13743493368975712,87.1611,0.659243915069912,金溢科技
002869.SZ,20240827,分红/权益分派,14firm,20240827,-0.013560487520421646,85.7048,0.6540652511651994,金溢科技
002869.SZ,20240419,分红/权益分派,14firm,20240419,-0.0054444400916834335,164.2945,0.7980321077162092,金溢科技
002869.SZ,20230823,分红/权益分派,14firm,20230823,-0.04140350516872057,157.5771,0.783531848783014,金溢科技
002869.SZ,20230425,分红/权益分派,14firm,20230425,-0.010651691547974955,,,金溢科技
002869.SZ,20220826,分红/权益分派,14firm,20220826,0.058843439194096375,,,金溢科技
002869.SZ,20220426,分红/权益分派,14firm,20220426,-0.01740397546341234,3.3851,0.0005178663904712584,金溢科技
002869.SZ,20210831,分红/权益分派,14firm,20210831,0.0830245990738512,4.2536,0.041429311237700675,金溢科技
002869.SZ,20210429,分红/权益分派,14firm,20210429,-0.025851428850132238,4.0203,0.021750388399792854,金溢科技
002869.SZ,20200828,分红/权益分派,14firm,20200828,-0.0535881022158607,11.1325,0.2377006732263076,金溢科技
002869.SZ,20200429,分红/权益分派,14firm,20200429,-0.2333070071784165,374.373,0.9616778871051269,金溢科技
002869.SZ,20190830,分红/权益分派,14firm,20190830,-0.18272201237352426,372.6222,0.9596064215432418,金溢科技
002869.SZ,20190426,分红/权益分派,14firm,20190426,0.2087041270742515,35.9653,0.4111859140341792,金溢科技
002869.SZ,20180425,分红/权益分派,14firm,20180425,0.038241781794023176,28.8586,0.34593474883480063,金溢科技
002869.SZ,20170824,分红/权益分派,14firm,20170824,-0.14462293189594327,36.9835,0.4298291040911445,金溢科技
300552.SZ,20260331,分红/权益分派,14firm,20260331,-0.07050673078618189,,,万集科技
300552.SZ,20250826,分红/权益分派,14firm,20250826,0.028244616892004373,,,万集科技
300552.SZ,20250412,分红/权益分派,14firm,20250414,-0.07205313683881244,,,万集科技
300552.SZ,20240817,分红/权益分派,14firm,20240819,-0.024716470586862743,,,万集科技
300552.SZ,20240418,分红/权益分派,14firm,20240418,0.26299393155030615,,,万集科技
300552.SZ,20230831,分红/权益分派,14firm,20230831,0.08965093460017892,,,万集科技
300552.SZ,20230412,分红/权益分派,14firm,20230412,-0.15265259167869205,118.557,0.8,万集科技
300552.SZ,20220813,分红/权益分派,14firm,20220815,-0.1438234674724707,144.7807,0.8374603174603175,万集科技
300552.SZ,20220409,分红/权益分派,14firm,20220411,-0.05117159502223895,7.6531,0.006349206349206349,万集科技
300552.SZ,20210731,分红/权益分派,14firm,20210802,0.06493134816472251,8.7124,0.05904761904761905,万集科技
300552.SZ,20210428,分红/权益分派,14firm,20210428,-0.16354704159303401,8.0574,0.019682539682539683,万集科技
300552.SZ,20200826,分红/权益分派,14firm,20200826,-0.016419967866496035,11.5911,0.2838095238095238,万集科技
300552.SZ,20200411,分红/权益分派,14firm,20200413,-0.03654412972683092,1246.5949,0.9415873015873016,万集科技
300552.SZ,20190803,分红/权益分派,14firm,20190805,0.18216354949849273,492.8088,0.8812698412698413,万集科技
300552.SZ,20190412,分红/权益分派,14firm,20190412,-0.04042534771841588,85.6459,0.6571428571428571,万集科技
300552.SZ,20180825,分红/权益分派,14firm,20180827,-0.00975345115276742,51.0289,0.5047619047619047,万集科技
300552.SZ,20180405,分红/权益分派,14firm,20180409,-0.04763532254340804,40.8525,0.35428571428571426,万集科技
300552.SZ,20170325,分红/权益分派,14firm,20170327,-0.26836175207711466,111.1378,0.7771428571428571,万集科技
002313.SZ,20260423,分红/权益分派,14firm,20260423,0.0982537606035319,,,日海智能
002313.SZ,20250827,分红/权益分派,14firm,20250827,-0.10389873749026413,,,日海智能
002313.SZ,20250321,分红/权益分派,14firm,20250321,-0.009850477966305227,,,日海智能
002313.SZ,20240810,分红/权益分派,14firm,20240812,0.026706823718421063,,,日海智能
002313.SZ,20240329,分红/权益分派,14firm,20240329,-0.12026624483154329,,,日海智能
002313.SZ,20230831,分红/权益分派,14firm,20230831,0.0352546155107096,,,日海智能
002313.SZ,20230417,分红/权益分派,14firm,20230417,0.018510098536297218,,,日海智能
002313.SZ,20220831,分红/权益分派,14firm,20220831,-0.05094020366196028,109.8292,0.862193652069104,日海智能
002313.SZ,20220430,分红/权益分派,14firm,20220506,-0.533218094299703,,,日海智能
002313.SZ,20210826,分红/权益分派,14firm,20210826,0.10991537404887858,,,日海智能
002313.SZ,20210423,分红/权益分派,14firm,20210423,0.14774956452951893,50.8395,0.3262354359180394,日海智能
002313.SZ,20200825,分红/权益分派,14firm,20200825,-0.0061979395593596415,83.4707,0.6769787063077541,日海智能
002313.SZ,20200430,分红/权益分派,14firm,20200430,0.0023843188795374948,74.0215,0.5267175572519084,日海智能
002313.SZ,20190827,分红/权益分派,14firm,20190827,0.0467800513830456,79.2434,0.603455202892728,日海智能
002313.SZ,20190424,分红/权益分派,14firm,20190424,-0.06279994842562923,73.4885,0.5222981116914424,日海智能
002313.SZ,20180828,分红/权益分派,14firm,20180828,0.033117665419407236,70.1245,0.47770188830855764,日海智能
002313.SZ,20180404,分红/权益分派,14firm,20180404,-0.05534227666890075,135.2685,0.9312977099236641,日海智能
002313.SZ,20170427,分红/权益分派,14firm,20170427,-0.07656264676550442,,,日海智能
002313.SZ,20140416,分红/权益分派,14firm,20140416,-0.07376511580241851,22.386,0.004821213338690237,日海智能
002313.SZ,20120315,分红/权益分派,14firm,20120315,0.004371287627101483,46.9357,0.27963037364403376,日海智能
002313.SZ,20110330,分红/权益分派,14firm,20110330,0.038460594909537016,68.2363,0.45761349939734836,日海智能
002970.SZ,20260331,分红/权益分派,14firm,20260331,0.04124161909378664,41.238,0.377160030052592,锐明技术
002970.SZ,20250822,分红/权益分派,14firm,20250822,-0.008135060803103299,30.7938,0.24492862509391436,锐明技术
002970.SZ,20250425,分红/权益分派,14firm,20250425,-0.1131431419410975,86.3789,0.7813673929376409,锐明技术
002970.SZ,20241023,分红/权益分派,14firm,20241023,-0.05082415036611415,80.737,0.7415477084898573,锐明技术
002970.SZ,20240823,分红/权益分派,14firm,20240823,0.03870605423085815,50.923,0.4973703981968445,锐明技术
002970.SZ,20240424,分红/权益分派,14firm,20240424,0.23054862579341961,,,锐明技术
002970.SZ,20230822,分红/权益分派,14firm,20230822,-0.004557009752716685,,,锐明技术
002970.SZ,20230426,分红/权益分派,14firm,20230426,0.193413865145402,141.3716,0.9421487603305785,锐明技术
002970.SZ,20220817,分红/权益分派,14firm,20220817,-0.0713139881286077,159.0812,0.9902329075882795,锐明技术
002970.SZ,20220428,分红/权益分派,14firm,20220428,-0.044942062711186836,16.0386,0.002253944402704733,锐明技术
002970.SZ,20210818,分红/权益分派,14firm,20210818,0.07652654971637488,31.8744,0.290007513148009,锐明技术
002970.SZ,20210421,分红/权益分派,14firm,20210421,0.1283899380445156,36.5137,0.35987978963185574,锐明技术
002970.SZ,20200818,分红/权益分派,14firm,20200818,-0.002229609375972025,53.6747,0.5484598046581518,锐明技术
002970.SZ,20200420,分红/权益分派,14firm,20200420,0.049172270286137756,57.5331,0.608564988730278,锐明技术
920249.BJ,20260416,分红/权益分派,14firm,20260416,0.16876576861505094,,,利尔达
920249.BJ,20250820,分红/权益分派,14firm,20250820,-0.094180507702554,,,利尔达
920249.BJ,20250429,分红/权益分派,14firm,20250429,0.006201287799883992,,,利尔达
920249.BJ,20240830,分红/权益分派,14firm,20240830,0.1300618851743071,,,利尔达
920249.BJ,20240427,分红/权益分派,14firm,20240429,-0.17401755000943464,15.9831,0.2613981762917933,利尔达
920249.BJ,20230831,分红/权益分派,14firm,20230831,0.26864971915280034,15.678,0.20364741641337386,利尔达
920249.BJ,20230427,分红/权益分派,14firm,20230427,0.008789791338797065,10.718,0.00303951367781155,利尔达
603236.SH,20260424,分红/权益分派,14firm,20260424,-0.0917123386230835,41.6059,0.2573134328358209,移远通信
603236.SH,20250815,分红/权益分派,14firm,20250815,0.057782772504112206,38.3129,0.22328358208955223,移远通信
603236.SH,20250424,分红/权益分派,14firm,20250424,-0.05970697183946029,203.4273,0.9677611940298507,移远通信
603236.SH,20240827,分红/权益分派,14firm,20240827,-0.019715719424694488,120.407,0.6077611940298507,移远通信
603236.SH,20240423,分红/权益分派,14firm,20240423,0.07274918757899689,17.1026,0.017313432835820895,移远通信
603236.SH,20230815,分红/权益分派,14firm,20230815,-0.08832234484736529,21.444,0.07522388059701493,移远通信
603236.SH,20230425,分红/权益分派,14firm,20230425,-0.2849908358255303,57.2657,0.34507462686567164,移远通信
603236.SH,20220824,分红/权益分派,14firm,20220824,-0.08570852856586189,84.6846,0.5134328358208955,移远通信
603236.SH,20220416,分红/权益分派,14firm,20220418,0.08907177916829725,111.5569,0.582089552238806,移远通信
