ts_code,firm,trade_date,rel,val_pct,log_mv,mom20,mom60,vol20,turn20,rev_cagr2,rev_cagr3,subtype,D,f_roe,f_roa,f_gross_margin,f_net_margin,f_op_margin,f_rd_intensity,f_ocf_to_rev,f_ocf_to_assets,f_fcf_to_rev,f_cash_to_assets,f_debt_to_assets,f_current_ratio,f_equity_mult,f_asset_turn,f_bps,f_rev_yoy,f_ni_yoy,f_rev_cagr2,f_rev_cagr3,f_rev_growth
300638.SZ,广和通,20210601,0.05501564517011376,0.4619197836863452,14.285077503815193,0.14979130208735558,0.22047258388246238,0.028436936898236218,1.542765,0.482039842176331,0.6950846081767375,股东增减持/限售流通,1,5.0134,2.6945,25.1087,9.3388,9.91360921633134,10.655931076374149,9.254761525114787,2.305163775435987,2.0432344534594407,15.726241563198142,52.43799718248928,1.5538508291437223,2.1025186929929576,0.2490786790324557,6.7902,43.262485634561365,66.76398357328938,48.2039842176331,69.50846081767375,69.50846081767375
002313.SZ,日海智能,20210602,-0.1479058459732298,0.09018087855297158,12.984082897122102,0.14694280078895483,0.08691588785046722,0.023279528851483357,0.9780849999999999,-0.07482591528492255,0.08163134828929342,股东增减持/限售流通,1,0.1141,0.3391,17.2141,0.083,0.0908662885742489,6.489414492286614,-15.407907511942064,-1.7454204110203455,-22.734020733280477,7.923673630753184,64.57981390463863,1.2961243898358472,2.8232488595845067,0.1132808208815855,7.1873,-18.45878829613976,-799.5970652819897,-7.482591528492255,8.16313482892934,8.16313482892934
603236.SH,移远通信,20210602,0.03709307369762875,0.5856716417910448,14.618308993579884,0.1055838688327897,-0.12742188631395357,0.024357047646204062,2.4492599999999998,,,control,0,2.4893,1.2708,19.3845,3.2605,3.479347648281957,10.748874010797993,-14.049927146552154,-4.187547983491097,-17.93362069660915,24.99141286908841,51.92925710048143,1.7009139419693904,2.0802674135706254,0.2980476652876253,26.7716,47.848786044764815,27.71221448875125,,,47.848786044764815
300552.SZ,万集科技,20210602,-0.08770373887105581,0.21333333333333335,13.320256200658699,-0.002914507870093286,-0.07537537543606465,0.02735545396570626,2.17557,0.5497340184058601,0.3829643857880749,control,0,0.9587,0.869,56.3861,11.4821,14.718622148853274,26.60753492731719,43.57393844676985,2.77663561152313,37.32882971684784,26.57283635839959,22.278209897888875,3.95002532277971,1.2866404629720918,0.0637223925699322,10.891,-50.38840932385706,-30.820378982996864,54.973401840586014,38.29643857880749,38.29643857880749
300638.SZ,广和通,20210602,0.08233322688807782,0.4596665164488508,14.269790251848422,0.14208033458218083,0.2444571841037384,0.028598149324249183,1.5751950000000001,0.482039842176331,0.6950846081767375,股权激励/员工持股,1,5.0134,2.6945,25.1087,9.3388,9.91360921633134,10.655931076374149,9.254761525114787,2.305163775435987,2.0432344534594407,15.726241563198142,52.43799718248928,1.5538508291437223,2.1025186929929576,0.2490786790324557,6.7902,43.262485634561365,66.76398357328938,48.2039842176331,69.50846081767375,69.50846081767375
002970.SZ,锐明技术,20210602,-0.11792118696410674,0.28249436513899323,13.559013149789777,0.17157520059305775,-0.13690045939347217,0.03231889575866235,1.6683600000000003,,,control,0,-1.2704,-0.9925,35.2615,-8.7841,-7.986380129896944,21.910234374608272,-10.099826735027904,-1.1880406825006344,-154.22755650644595,24.98378974021303,29.72402920079248,2.854745071420401,1.4229614882976138,0.1176298082798102,8.8459,2.8964121761415607,20.60996653010474,,,2.8964121761415607
002869.SZ,金溢科技,20210607,-0.03814191488095077,0.11651993785603314,12.803865919404789,0.05724789923617046,-0.2724972894066222,0.03859695201614392,3.469755,0.608903065496549,0.35924639710206274,control,0,29.5157,20.2746,62.9975,40.2235,49.38365288632603,7.943273108884777,-5.349519945865329,-2.887834304889603,-10.899028653457018,49.68127887569733,18.230749812718024,4.976744467412368,1.2229536136256949,0.5398305519211354,13.1233,-45.3300425506315,-27.949706953657284,60.8903065496549,35.92463971020627,35.92463971020627
300638.SZ,广和通,20210608,0.2892884666162545,0.4601171698963497,14.304935590195024,0.22616363397907135,0.3910684791808805,0.025017863771806613,1.5731300000000001,0.482039842176331,0.6950846081767375,股权激励/员工持股,1,5.0134,2.6945,25.1087,9.3388,9.91360921633134,10.655931076374149,9.254761525114787,2.305163775435987,2.0432344534594407,15.726241563198142,52.43799718248928,1.5538508291437223,2.1025186929929576,0.2490786790324557,6.7902,43.262485634561365,66.76398357328938,48.2039842176331,69.50846081767375,69.50846081767375
300098.SZ,高新兴,20210609,0.05158317718037664,0.5121012101210121,13.731011318948466,0.1475770925154143,0.5692771085129451,0.04042729191223626,7.305425000000001,-0.19199283642749265,0.013099301685898901,control,0,-1.7055,-1.0648,29.3592,-16.0037,-17.68387752891103,22.463656656811647,-23.707216053640806,-1.565650529670625,-35.693860763768,10.910705815678297,43.42225922190936,1.7047957521367272,1.767479553349793,0.0660410959316406,1.8787,-13.632242669088456,-4.70894902071286,-19.199283642749265,1.30993016858989,1.30993016858989
300590.SZ,移为通信,20210609,-0.0014750481689814118,0.8693259972489684,13.242083230618082,0.12460125664572264,-0.09673913043478255,0.022045741536268697,2.121325,-0.0037284274758230262,0.09254793731900057,股份回购(首发),1,2.2705,2.1903,37.8212,16.2139,18.771163550893743,13.207262765799449,-11.258891462798545,-1.289504436497125,56.7355418733379,19.209371008632417,17.281296513303413,4.256928705786722,1.208916433465168,0.1145320958779899,4.5487,-24.908264658604185,-44.24734318673064,-0.3728427475823026,9.254793731900058,9.254793731900058
300638.SZ,广和通,20210610,0.3423042245349519,0.4677782785038306,14.320841519263027,0.26889363359784335,0.45570971354515133,0.02508152212756611,1.7797899999999998,0.482039842176331,0.6950846081767375,股权激励/员工持股,1,5.0134,2.6945,25.1087,9.3388,9.91360921633134,10.655931076374149,9.254761525114787,2.305163775435987,2.0432344534594407,15.726241563198142,52.43799718248928,1.5538508291437223,2.1025186929929576,0.2490786790324557,6.7902,43.262485634561365,66.76398357328938,48.2039842176331,69.50846081767375,69.50846081767375
002881.SZ,美格智能,20210611,-0.133461862760858,0.9265718219366682,13.376377068063183,0.7712981744421905,0.8481481481481479,0.04391657389729873,2.456045,0.06412598384523016,0.20382862897127296,control,0,4.853,0.9402,21.3069,2.4481,1.476765438304067,16.08805031915504,6.106562938430711,6.994457539041084,3.008385677462625,20.82839217919644,40.54958800713053,2.058761089761375,1.6820741294777584,1.145400057210996,3.1525,20.154749218245826,12.214022078080088,6.412598384523016,20.382862897127296,20.382862897127296
688618.SH,三旺通信,20210611,0.021024570015674763,0.27824109173616374,12.207021870873218,0.08015267157655703,-0.06754530492646171,0.015340066950171902,4.369325,,,control,0,0.8543,0.6994,61.0463,14.8706,15.001504243428943,29.24083012716491,21.39449281786755,1.0840889715300384,-781.988673098131,15.963478693987124,11.42506842687622,9.159673590714457,1.1289876065830675,0.0506714031858079,13.4288,,,,,
688080.SH,映翰通,20210615,0.0803779649413131,0.7299934938191281,12.36168696457193,0.18348380228892647,0.13583078470487764,0.026657967936568352,1.59519,,,control,0,0.3775,0.5288,46.2785,5.9355,9.533919183880183,19.34638437691871,12.824812080871956,0.8914581280915167,-478.9609995880261,28.58807245129032,14.282309174179716,6.653784295738281,1.1666203211563595,0.0695104242050544,12.455,4.773685699492081,-21.919900663868784,,,4.773685699492081
