analysis_group_id,event_date,as_of_date,source_count,evidence_count,group_event_count,group_source_count,group_evidence_count,keyword_score_num,source_weight_num,signal_strength_num,has_pdf_num,pre_total_mv_yi,text_char_len,text_digit_count,text_percent_count,text_money_word_count,text_risk_keyword_count,text_has_risk_keyword,text_growth_keyword_count,text_has_growth_keyword,text_capital_keyword_count,text_has_capital_keyword,text_ir_keyword_count,text_has_ir_keyword,text_tech_keyword_count,text_has_tech_keyword,text_order_keyword_count,text_has_order_keyword,text_policy_keyword_count,text_has_policy_keyword,text_finance_keyword_count,text_has_finance_keyword,category_业绩信号,category_产品/技术创新,category_其他,category_客户/订单,category_政策/行业,category_管理层/投关信号,category_资本动作,category_风险事件,source_has_announcement,source_has_express,source_has_forecast,source_has_institution_survey,source_has_irm_qa,source_has_news,source_has_repurchase,source_has_research_report
300098|2017-01-26|资本动作,2017-01-26,2017-01-26,1,1,5,1,5,2,4,1,0,138.42967674,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
300098|2013-05-07|其他,2013-05-07,2013-05-07,1,1,2,1,2,0,4,1,0,18.6732,105,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300590|2019-10-17|资本动作,2019-10-17,2019-10-17,1,1,1,1,1,1,4,1,0,57.135162,64,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
002881|2021-06-24|其他,2021-06-24,2021-06-24,1,1,12,1,12,0,4,1,0,56.653473,150,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
002313|2017-03-22|资本动作,2017-03-22,2017-03-22,1,1,1,1,1,2,4,1,0,74.4432,78,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
688159|2022-07-30|业绩信号,2022-07-30,2022-07-30,1,1,3,1,3,2,5,1,0,20.41702354,208,16,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
002313|2021-05-25|其他,2021-05-25,2021-05-25,1,1,5,1,5,0,4,1,0,43.8048,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300638|2026-03-31|其他,2026-03-31,2026-03-31,1,1,25,1,25,0,4,1,0,231.11132191,173,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
301608|2025-08-28|其他,2025-08-28,2025-08-28,1,1,6,1,6,0,4,1,0,79.227797,191,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300098|2020-02-06|风险事件,2020-02-06,2020-02-06,1,1,1,1,1,1,4,1,0,84.84178538,66,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
